date,FIDELITY HONG KONG EQUITY FUND (Class O),FIDELITY ASIA PACIFIC EQUITY FUND (Class O),FIDELITY GLOBAL EQUITY FUND (Class O),FIDELITY GROWTH FUND (Class O),FIDELITY BALANCED FUND (Class O),FIDELITY STABLE GROWTH FUND (Class O),FIDELITY CAPITAL STABLE FUND (Class O),FIDELITY HONG KONG BOND FUND (Class O),FIDELITY WORLD BOND FUND (Class O),FIDELITY US DOLLAR MONEY FUND (Class O),FIDELITY HK DOLLAR MONEY FUND (Class O),FAP FUND - TRACKER FUND PORTFOLIO (Class O),FAP FUND - INVESCO ASIAN EQUITY FUND (Class O),BLACKROCK GLOBAL ALLOCATION FUND (CLASS D2),BLACKROCK FIXED INCOME GLOBAL OPPORTUNITIES FUND (CLASS D2),BLACKROCK GLOBAL LONG-HORIZON EQUITY FUND (CLASS D2),BLACKROCK US FLEXIBLE EQUITY FUND (CLASS D2),BLACKROCK EUROPEAN FUND (CLASS D2),BLACKROCK ASIAN DRAGON FUND (CLASS D2),ALLIANCEBERNSTEIN- CHINA OPPORTUNITY PORTFOLIO (CLASS S1)
2/7/2019,270.97,29.57,31.62,53.74,48.94,48.69,36.78,74.52,17.03,16.95,68.53,24.14,24.03,62.86,15,64.52,39.9,145.29,47.06,73.67
3/7/2019,270.27,29.42,31.79,53.77,48.98,48.75,36.83,74.64,17.06,16.95,68.53,24.1,23.89,63.17,15.02,65.05,40.11,146.92,46.61,73.61
4/7/2019,269.56,29.5,31.82,53.83,49.03,48.79,36.86,74.63,17.07,16.95,68.53,24.1,23.94,63.34,15.04,65.3,40.27,146.49,46.97,
5/7/2019,269.73,29.41,31.72,53.65,48.85,48.59,36.7,74.58,16.97,16.95,68.53,24.06,23.89,62.94,15.04,64.61,40.13,143.44,46.74,73.17
8/7/2019,265.2,28.93,31.52,53.09,48.44,48.28,36.55,74.46,16.95,16.95,68.53,23.65,23.62,62.82,15.01,64.36,40,143.72,45.96,72.07
9/7/2019,264.15,28.81,31.49,52.88,48.28,48.14,36.46,74.4,16.92,16.95,68.53,23.49,23.4,62.59,15,64.22,39.86,143.1,45.86,71.61
10/7/2019,265.19,28.97,31.63,53.05,48.4,48.25,36.52,74.4,16.94,16.95,68.53,23.57,23.51,62.98,15,64.8,40.25,143.88,46.02,71.87
11/7/2019,266.74,29.24,31.69,53.24,48.52,48.31,36.53,74.57,16.91,16.95,68.53,23.73,23.75,63.11,15.01,64.95,40.26,143.63,46.4,71.98
12/7/2019,267.09,29.21,31.77,53.27,48.54,48.32,36.54,74.56,16.91,16.96,68.53,23.81,23.73,63.04,15,65.06,40.48,142.91,46.33,72.2
15/07/2019,268.11,29.31,31.78,53.36,48.62,48.39,36.58,74.56,16.93,16.96,68.53,23.85,23.81,63.2,15.01,65.35,40.61,143.72,46.5,73.03
16/07/2019,268.63,29.39,31.75,53.39,48.63,48.38,36.56,74.56,16.9,16.96,68.53,23.89,23.86,63.08,15.02,65.12,40.69,143.68,46.63,73.26
17/07/2019,268.28,29.3,31.59,53.27,48.57,48.37,36.59,74.56,16.95,16.96,68.53,23.89,23.75,63,15.01,65.47,40.58,144.76,46.53,73.35
18/07/2019,267.23,29.19,31.57,53.06,48.44,48.3,36.58,74.67,16.98,16.96,68.53,23.77,23.59,62.78,15.02,65.31,40.41,143.42,46.26,72.75
19/07/2019,269.82,29.43,31.47,53.31,48.6,48.4,36.61,74.67,16.96,16.96,68.59,24.01,23.81,63.07,15.03,65.76,40.69,144.21,46.63,73.13
22/07/2019,267.03,29.28,31.55,53.16,48.5,48.34,36.59,74.72,16.97,16.96,68.59,23.65,23.67,62.93,15.03,65.36,40.54,143.88,46.44,72.71
23/07/2019,268.07,29.38,31.75,53.39,48.64,48.41,36.59,74.72,16.92,16.96,68.59,23.77,23.73,62.98,15.04,65.54,40.53,143.9,46.57,72.96
24/07/2019,268.58,29.41,31.84,53.5,48.73,48.49,36.65,74.66,16.95,16.96,68.59,23.81,23.78,63.07,15.05,65.66,40.74,144.45,46.36,73.42
25/07/2019,269.62,29.46,31.66,53.44,48.67,48.43,36.59,74.72,16.92,16.96,68.59,23.89,23.81,62.95,15.06,65.4,40.64,142.95,46.57,73.97
26/07/2019,267.88,29.25,31.85,53.36,48.61,48.37,36.56,74.6,16.9,16.98,68.59,23.68,23.64,63.02,15.05,65.66,40.79,143.14,46.41,73.82
29/07/2019,265.78,29.2,31.84,53.21,48.5,48.29,36.53,74.54,16.9,16.98,68.59,23.48,23.54,63.06,15.05,65.72,40.75,143.6,45.87,73.46
30/07/2019,266.29,29.15,31.71,53.07,48.4,48.21,36.48,74.54,16.9,16.98,68.59,23.52,23.54,62.79,15.05,65.04,40.59,141.81,45.91,73.27
31/07/2019,263.34,28.95,31.46,52.73,48.18,48.09,36.46,74.59,16.95,16.98,68.59,23.23,23.32,62.81,15.05,65.25,40.76,142.26,45.62,72.71
1/8/2019,261.08,28.63,31.26,52.43,47.96,47.93,36.38,74.59,16.94,16.98,68.59,23.07,23.05,62.55,15.05,64.89,40.54,142.4,45.3,71.78
2/8/2019,254.83,28.14,30.91,51.68,47.47,47.65,36.32,74.87,17.04,16.98,68.59,22.5,22.58,62.18,15.07,63.72,39.62,140.4,44.1,69.63
5/8/2019,247.87,27.44,30.16,50.59,46.76,47.22,36.2,74.98,17.16,16.98,68.59,21.89,21.91,61.64,15.05,62.58,38.82,137.99,42.79,67.5
6/8/2019,246.48,27.17,30.32,50.44,46.65,47.15,36.16,75.04,17.16,16.98,68.59,21.81,21.74,61.49,15.05,62.68,38.59,138.17,42.76,67.35
7/8/2019,246.99,27.2,30.44,50.64,46.81,47.29,36.26,75.26,17.2,16.98,68.65,21.81,21.69,61.52,15.05,62.29,38.11,138.41,42.7,67.6
8/8/2019,248.9,27.47,30.94,51.11,47.14,47.51,36.34,75.38,17.17,16.98,68.65,21.89,21.82,62,15.07,63.7,39.1,140.29,43.21,68.79
9/8/2019,247.33,27.41,30.81,50.92,47,47.41,36.29,75.43,17.17,16.98,68.65,21.73,21.93,62.18,15.06,63.88,39.27,140.24,43.22,67.85
12/8/2019,246.79,27.35,30.57,50.79,46.95,47.42,36.35,75.43,17.24,16.99,68.65,21.61,21.82,61.88,15.04,63.45,38.79,140.07,43.06,68.05
13/08/2019,242.63,27.09,30.83,50.53,46.73,47.23,36.23,75.37,17.19,16.99,68.65,21.2,21.39,62,15.05,63.81,39.39,140.33,42.56,67.68
14/08/2019,243.31,27.26,30.23,50.27,46.57,47.16,36.23,75.37,17.25,16.99,68.65,21.16,21.69,61.64,15.03,63.06,38.62,137.86,42.88,67.6
15/08/2019,244.52,27.07,30.23,50.23,46.58,47.2,36.29,75.48,17.31,16.99,68.65,21.36,21.69,,,,,,,
16/08/2019,246.77,27.2,30.55,50.59,46.82,47.34,36.33,75.59,17.26,16.99,68.65,21.61,21.72,61.62,15.07,63.02,38.41,137.81,43.14,68.77
19/08/2019,251.79,27.52,30.87,51.17,47.2,47.58,36.4,75.53,17.2,16.99,68.65,21.97,22.01,62.04,15.07,63.76,39.15,138.92,43.86,70.06
20/08/2019,251.44,27.59,30.7,51.1,47.17,47.58,36.42,75.53,17.24,16.99,68.65,22.01,22.12,61.96,15.06,63.68,38.98,138.59,43.86,70.22
21/08/2019,251.95,27.56,30.93,51.31,47.31,47.68,36.46,75.47,17.23,16.99,68.65,22.01,22.09,62.19,15.08,64.05,39.26,141.02,43.87,70.28
22/08/2019,250.39,27.39,30.82,51.08,47.13,47.52,36.36,75.47,17.19,16.99,68.65,21.85,22.04,62.24,15.08,63.87,39.34,140.26,43.66,69.8
23/08/2019,251.94,27.41,30.33,50.95,47.08,47.53,36.41,75.35,17.27,16.99,68.65,21.93,22.01,62,15.08,63.5,38.9,139.69,43.65,69.85
26/08/2019,246.72,27.07,30.45,50.54,46.79,47.33,36.33,75.63,17.27,17,68.71,21.56,21.71,61.71,15.09,62.72,38.42,138.64,43.22,68.78
27/08/2019,246.89,27.19,30.49,50.67,46.91,47.46,36.43,75.69,17.33,17,68.71,21.52,21.88,62.03,15.08,63.28,38.71,139.58,43.57,69.29
28/08/2019,246.71,27.21,30.55,50.64,46.87,47.42,36.4,75.69,17.31,17,68.71,21.48,21.98,61.86,15.09,62.82,38.36,138.51,43.53,69.19
29/08/2019,247.75,27.23,30.87,50.88,47.05,47.54,36.45,75.63,17.3,17,68.71,21.56,21.98,62.31,15.11,63.7,39.25,140.18,43.68,69.72
30/08/2019,248.78,27.53,30.94,51.12,47.19,47.6,36.44,75.45,17.25,17,68.71,21.6,22.25,62.53,15.1,64.25,39.43,141.35,44.16,69.84
2/9/2019,249.11,27.54,30.95,51.12,47.19,47.6,36.44,75.56,17.24,17,68.71,21.51,22.23,62.4,15.11,63.97,39.3,140.77,44.14,
3/9/2019,247.72,27.27,30.77,50.9,47.05,47.52,36.42,75.62,17.28,17,68.71,21.44,22.01,62.34,15.11,63.63,39.1,140.71,43.63,69.98
4/9/2019,254.83,27.66,31.1,51.62,47.58,47.91,36.61,75.73,17.29,17,68.71,22.2,22.25,62.64,15.12,64.04,39.29,142.45,44.47,71.26
5/9/2019,256.04,27.95,31.46,52.05,47.84,48.05,36.62,75.67,17.2,17,68.71,22.28,22.5,62.99,15.13,65.11,39.9,144.35,44.86,72.11
6/9/2019,257.6,28.19,31.54,52.29,48.04,48.22,36.73,75.61,17.26,17,68.71,22.32,22.74,63.06,15.11,65.47,40.01,144.98,45.18,72.45
9/9/2019,257.75,28.25,31.45,52.26,47.97,48.11,36.62,75.55,17.17,17,68.71,22.4,22.87,63.01,15.12,65.38,40.16,143.83,45.36,72.51
10/9/2019,257.92,28.22,31.38,52.2,47.89,48,36.52,75.49,17.09,17.02,68.71,22.4,22.95,62.8,15.1,64.56,40.22,140.42,45.16,72.16
11/9/2019,260.69,28.36,31.58,52.53,48.12,48.14,36.57,75.21,17.07,17.02,68.71,22.72,23.12,62.99,15.08,65.06,40.53,141.98,45.56,72.14
12/9/2019,261.21,28.52,31.74,52.78,48.29,48.26,36.62,75.26,17.05,17.02,68.71,22.72,23.25,63.33,15.1,65.93,40.72,143.02,45.73,72.96
13/09/2019,264.15,28.64,31.79,53.07,48.47,48.34,36.61,75.03,16.99,17.02,68.71,22.93,23.44,63.41,15.09,66.14,40.86,143.73,46.08,73.57
16/09/2019,262.05,28.56,31.6,52.75,48.24,48.17,36.53,75.03,16.99,17.02,68.77,22.72,23.46,63.2,15.06,65.47,40.78,141.67,45.7,73.03
17/09/2019,259.27,28.37,31.75,52.69,48.22,48.2,36.59,75.08,17.05,17.02,68.77,22.48,23.17,63.1,15.07,65.37,40.57,142.42,45.29,72.65
