date,FIDELITY HONG KONG EQUITY FUND (Class O),FIDELITY ASIA PACIFIC EQUITY FUND (Class O),FIDELITY GLOBAL EQUITY FUND (Class O),FIDELITY GROWTH FUND (Class O),FIDELITY BALANCED FUND (Class O),FIDELITY STABLE GROWTH FUND (Class O),FIDELITY CAPITAL STABLE FUND (Class O),FIDELITY HONG KONG BOND FUND (Class O),FIDELITY WORLD BOND FUND (Class O),FIDELITY US DOLLAR MONEY FUND (Class O),FIDELITY HK DOLLAR MONEY FUND (Class O),FAP FUND - TRACKER FUND PORTFOLIO (Class O),FAP FUND - INVESCO ASIAN EQUITY FUND (Class O),BLACKROCK GLOBAL ALLOCATION FUND (CLASS D2),BLACKROCK FIXED INCOME GLOBAL OPPORTUNITIES FUND (CLASS D2),BLACKROCK GLOBAL LONG-HORIZON EQUITY FUND (CLASS D2),BLACKROCK US FLEXIBLE EQUITY FUND (CLASS D2),BLACKROCK EUROPEAN FUND (CLASS D2),BLACKROCK ASIAN DRAGON FUND (CLASS D2),ALLIANCEBERNSTEIN- CHINA OPPORTUNITY PORTFOLIO (CLASS S1)
03/07/2017,228.71,25.81,27.45,47.03,43.37,43.75,33.6,70.49,15.87,16.42,67.09,20.36,22.39,58.35,14.06,50.71,33.04,139.69,42.29,62.82
04/07/2017,225.35,25.65,27.38,46.7,43.13,43.57,33.52,70.43,15.87,16.42,67.09,20.17,22.2,58.23,14.05,50.51,32.93,140.05,41.87,
05/07/2017,226.58,25.68,27.42,46.84,43.23,43.64,33.55,70.6,15.86,16.42,67.15,20.24,22.28,58.16,14.05,50.38,32.9,139.71,42.03,62.68
06/07/2017,226.58,25.66,27.27,46.75,43.17,43.59,33.52,70.54,15.86,16.42,67.15,20.28,22.25,58.09,14.06,50.3,32.81,139.25,42.07,62.55
07/07/2017,225.51,25.51,27.29,46.58,43.02,43.45,33.43,70.42,15.81,16.42,67.15,20.16,22.25,58.04,14.05,50.3,32.91,139.36,41.91,62.27
10/07/2017,226.74,25.61,27.36,46.75,43.15,43.56,33.49,70.42,15.83,16.42,67.15,20.28,22.36,58.16,14.05,50.33,32.94,139.75,42.09,62.65
11/07/2017,229.91,25.87,27.37,46.99,43.33,43.69,33.56,70.53,15.83,16.42,67.15,20.59,22.61,58.18,14.05,50.35,33,139.56,42.57,63.44
12/07/2017,231.14,26,27.64,47.38,43.64,43.96,33.72,70.65,15.89,16.42,67.15,20.7,22.77,58.51,14.06,50.81,33.23,141.15,42.87,63.87
13/07/2017,233.96,26.33,27.75,47.7,43.87,44.11,33.78,70.76,15.87,16.42,67.15,20.94,23.07,58.64,14.08,50.83,33.3,141.77,43.31,64.14
14/07/2017,234.83,26.43,27.85,47.9,44.03,44.27,33.89,70.65,15.92,16.42,67.15,20.97,23.07,58.89,14.08,50.93,33.35,142.76,43.28,64.89
17/07/2017,235.52,26.55,27.89,48.01,44.14,44.37,33.97,70.7,15.96,16.42,67.15,21.05,23.18,58.97,14.1,51.04,33.45,143.36,43.44,64.81
18/07/2017,236.05,26.65,27.89,48.09,44.24,44.52,34.1,70.81,16.07,16.42,67.15,21.05,23.18,58.98,14.1,50.92,33.35,143.07,43.59,65.62
19/07/2017,237.98,26.94,28.05,48.38,44.44,44.66,34.15,70.87,16.05,16.42,67.15,21.17,23.31,59.08,14.12,50.99,33.52,143.11,43.96,66.16
20/07/2017,238.51,26.94,28.1,48.51,44.58,44.81,34.27,70.93,16.13,16.42,67.15,21.2,23.31,59.16,14.12,51.05,33.54,144.12,43.97,65.67
21/07/2017,238.32,26.84,28.02,48.42,44.53,44.79,34.29,70.92,16.17,16.42,67.15,21.24,23.45,59.16,14.12,51.04,33.37,143.11,43.97,65.86
24/07/2017,239.37,26.96,28,48.47,44.55,44.8,34.28,70.98,16.15,16.42,67.15,21.36,23.5,59.19,14.13,51.14,33.4,142.98,44.15,66.33
25/07/2017,239.18,27,28.08,48.5,44.55,44.76,34.23,70.98,16.09,16.42,67.15,21.32,23.53,59.26,14.14,51.17,33.61,144.04,44.13,66.1
26/07/2017,239.53,26.98,28.08,48.51,44.56,44.78,34.24,70.8,16.1,16.42,67.15,21.4,23.47,59.17,14.13,51.22,33.57,144.29,44.23,66.35
