date,FIDELITY HONG KONG EQUITY FUND (Class O),FIDELITY ASIA PACIFIC EQUITY FUND (Class O),FIDELITY GLOBAL EQUITY FUND (Class O),FIDELITY GROWTH FUND (Class O),FIDELITY BALANCED FUND (Class O),FIDELITY STABLE GROWTH FUND (Class O),FIDELITY CAPITAL STABLE FUND (Class O),FIDELITY HONG KONG BOND FUND (Class O),FIDELITY WORLD BOND FUND (Class O),FIDELITY US DOLLAR MONEY FUND (Class O),FIDELITY HK DOLLAR MONEY FUND (Class O),FAP FUND - TRACKER FUND PORTFOLIO (Class O),FAP FUND - INVESCO ASIAN EQUITY FUND (Class O),BLACKROCK GLOBAL ALLOCATION FUND (CLASS D2),BLACKROCK FIXED INCOME GLOBAL OPPORTUNITIES FUND (CLASS D2),BLACKROCK GLOBAL LONG-HORIZON EQUITY FUND (CLASS D2),BLACKROCK US FLEXIBLE EQUITY FUND (CLASS D2),BLACKROCK EUROPEAN FUND (CLASS D2),BLACKROCK ASIAN DRAGON FUND (CLASS D2),ALLIANCEBERNSTEIN- CHINA OPPORTUNITY PORTFOLIO (CLASS S1)
03/01/2017,191.35,21.93,25,41.48,38.91,39.91,31.26,68.15,15.06,16.37,66.97,17.31,17.98,54.31,13.75,44.56,30.08,121.31,35.72,50.35
04/01/2017,191.35,22.08,25.23,41.79,39.17,40.14,31.41,68.2,15.11,16.37,66.97,17.31,18.06,54.7,13.74,44.83,30.24,121.42,35.91,50.73
05/01/2017,194,22.37,25.35,42.22,39.54,40.5,31.67,68.67,15.24,16.37,66.97,17.54,18.25,54.94,13.75,45.31,30.35,122.71,36.51,51.72
06/01/2017,194.35,22.37,25.37,42.2,39.5,40.42,31.59,68.67,15.17,16.37,66.97,17.57,18.36,54.93,13.76,45.41,30.28,122.83,36.52,51.69
09/01/2017,195.05,22.38,25.32,42.19,39.49,40.43,31.59,68.6,15.18,16.37,66.97,17.65,18.33,54.86,13.75,45.34,30.3,121.57,36.36,51.88
10/01/2017,196.46,22.53,25.37,42.35,39.63,40.55,31.67,68.72,15.21,16.37,66.97,17.72,18.52,54.94,13.76,45.44,30.32,122.59,36.73,52.33
11/01/2017,198.05,22.62,25.37,42.41,39.64,40.52,31.62,68.72,15.14,16.37,66.97,17.92,18.73,54.95,13.77,45.59,30.49,122.19,36.95,52.65
12/01/2017,197.34,22.8,25.44,42.56,39.82,40.74,31.82,68.89,15.3,16.37,66.97,17.88,18.84,55.1,13.76,45.74,30.38,123.46,37.01,52.32
13/01/2017,198.22,22.76,25.51,42.65,39.86,40.74,31.78,68.77,15.24,16.37,66.97,17.92,18.76,55.16,13.79,45.76,30.53,123.29,36.99,52.61
16/01/2017,196.43,22.67,25.44,42.43,39.7,40.62,31.72,68.83,15.24,16.37,66.97,17.76,18.68,55.1,13.77,45.68,30.47,122.54,36.74,
