date,FIDELITY HONG KONG EQUITY FUND (Class O),FIDELITY ASIA PACIFIC EQUITY FUND (Class O),FIDELITY GLOBAL EQUITY FUND (Class O),FIDELITY GROWTH FUND (Class O),FIDELITY BALANCED FUND (Class O),FIDELITY STABLE GROWTH FUND (Class O),FIDELITY CAPITAL STABLE FUND (Class O),FIDELITY HONG KONG BOND FUND (Class O),FIDELITY WORLD BOND FUND (Class O),FIDELITY US DOLLAR MONEY FUND (Class O),FIDELITY HK DOLLAR MONEY FUND (Class O),FAP FUND - TRACKER FUND PORTFOLIO (Class O),FAP FUND - INVESCO ASIAN EQUITY FUND (Class O),BLACKROCK GLOBAL ALLOCATION FUND (CLASS D2),BLACKROCK FIXED INCOME GLOBAL OPPORTUNITIES FUND (CLASS D2),BLACKROCK GLOBAL LONG-HORIZON EQUITY FUND (CLASS D2),BLACKROCK US FLEXIBLE EQUITY FUND (CLASS D2),BLACKROCK EUROPEAN FUND (CLASS D2),BLACKROCK ASIAN DRAGON FUND (CLASS D2),ALLIANCEBERNSTEIN- CHINA OPPORTUNITY PORTFOLIO (CLASS S1)
2/7/2020,273.45,30.08,33.01,55.14,50.7,50.81,38.5,77.67,18.17,17.19,69.55,21.43,23.74,67.97,15.46,69.45,42.49,163.16,48.31,82.66
3/7/2020,276.73,30.49,33.04,55.48,50.95,51.01,38.6,77.73,18.18,17.19,69.55,21.61,24.07,67.67,15.47,68.84,42.01,162.49,48.92,
6/7/2020,286.2,31.05,33.65,56.74,51.89,51.73,38.97,77.78,18.23,17.19,69.55,22.4,24.54,68.45,15.49,70.29,42.7,165.28,50.12,85.88
7/7/2020,284.29,31.03,33.32,56.39,51.65,51.56,38.91,77.83,18.25,17.19,69.55,22.15,24.64,68.37,15.51,70.1,42.49,164.6,49.93,86.2
8/7/2020,289.98,31.31,33.5,56.82,51.98,51.82,39.04,77.77,18.27,17.19,69.55,22.23,24.86,68.58,15.51,70.29,42.51,165.2,50.46,87.81
9/7/2020,293.26,31.87,33.46,57.09,52.18,51.99,39.13,77.77,18.3,17.19,69.55,22.34,25.18,68.71,15.52,70.61,42.46,166.67,51.16,89.85
10/7/2020,288.25,31.46,33.71,56.86,52.02,51.88,39.09,77.94,18.31,17.19,69.55,21.89,24.88,68.44,15.52,69.99,42.18,165.38,50.4,87.56
13/07/2020,289.78,31.58,33.63,57.15,52.24,52.05,39.18,77.94,18.33,17.19,69.55,22.01,25.01,69.07,15.53,70.77,43.06,167.94,50.83,88.21
14/07/2020,285.46,31.16,33.78,56.8,52,51.89,39.13,78.1,18.35,17.19,69.55,21.74,24.66,68.38,15.53,69.88,42.51,165.98,50.06,86.55
15/07/2020,285.8,31.47,34.25,57.4,52.44,52.23,39.31,78.16,18.37,17.19,69.55,21.76,24.85,69.44,15.55,71.77,43.7,169.74,50.35,87.15
16/07/2020,275.96,30.83,34.06,56.44,51.76,51.76,39.11,78.16,18.41,17.19,69.55,21.33,24.53,69.2,15.57,71.38,43.42,169.47,49.3,83.99
17/07/2020,279.06,31.16,34.18,56.75,51.96,51.88,39.14,77.99,18.37,17.19,69.55,21.44,24.58,69.47,15.58,71.49,43.64,169.23,49.78,85.09
20/07/2020,280.59,31.24,34.51,57.13,52.26,52.13,39.29,78.32,18.42,17.2,69.55,21.38,24.66,69.63,15.59,71.8,43.5,171.03,49.94,86.43
21/07/2020,287.65,32.24,34.7,58,52.93,52.67,39.58,78.26,18.49,17.2,69.55,21.84,25.31,70.46,15.64,73.05,44.33,173.64,51.26,88.26
22/07/2020,281.96,31.84,34.8,57.59,52.67,52.53,39.57,78.32,18.57,17.2,69.55,21.34,25.31,70.5,15.68,72.99,44.12,174.28,50.62,86.35
23/07/2020,285.05,31.91,34.55,57.7,52.77,52.64,39.64,78.31,18.61,17.2,69.55,21.52,25.29,70.79,15.7,73.5,44.37,174.15,50.78,86.43
24/07/2020,276.61,31.27,34.18,56.81,52.13,52.18,39.44,78.31,18.62,17.2,69.55,21.08,24.94,70,15.69,72.55,43.71,169.96,49.6,84.09
27/07/2020,276.42,31.61,34.49,57.16,52.44,52.5,39.66,78.36,18.74,17.2,69.55,21.07,25.21,70.55,15.71,72.62,43.98,173.36,49.98,84.05
28/07/2020,279.17,31.92,34.31,57.3,52.55,52.57,39.7,78.42,18.74,17.2,69.55,21.16,25.53,70.46,15.7,72.71,43.84,172.41,50.78,85.39
29/07/2020,281.06,31.89,34.62,57.54,52.74,52.74,39.8,78.53,18.77,17.2,69.55,21.21,25.45,70.69,15.7,73.49,44.04,173.1,50.88,85.75
30/07/2020,279.16,31.91,34.34,57.12,52.46,52.57,39.75,78.59,18.83,17.2,69.55,21.06,25.37,70.2,15.7,72.72,43.69,170.02,50.68,85.59
31/07/2020,278.63,31.75,34.35,56.85,52.29,52.45,39.7,78.64,18.84,17.2,69.55,20.99,25.4,70.63,15.72,72.89,44.22,171.95,50.58,85.63
3/8/2020,279.65,31.6,34.66,57.23,52.51,52.54,39.69,78.69,18.74,17.2,69.55,20.87,25.23,70.8,15.72,73.18,44.65,171.75,50.31,86.8
4/8/2020,283.09,32.2,34.79,57.69,52.87,52.86,39.88,78.75,18.81,17.2,69.55,21.28,25.69,71.05,15.74,73.43,44.76,170.65,51.1,88.04
5/8/2020,286.01,32.41,35.04,58.21,53.28,53.19,40.07,78.69,18.86,17.2,69.55,21.43,25.96,71.82,15.78,74.33,45.17,174.23,51.74,88.63
6/8/2020,284.8,32.53,35.12,58.12,53.22,53.16,40.06,78.69,18.88,17.2,69.55,21.26,26.09,71.87,15.79,74.37,45.21,173.84,51.83,88.2
7/8/2020,279.63,32.04,34.97,57.56,52.77,52.78,39.83,78.74,18.79,17.2,69.55,20.91,25.88,71.75,15.79,74.57,45.38,173.68,51.3,86.69
10/8/2020,276.68,31.92,34.98,57.36,52.62,52.66,39.77,78.79,18.78,17.2,69.61,20.84,25.82,71.84,15.8,74.85,45.65,173.53,51.05,85.92
11/8/2020,280.29,32.07,34.91,57.79,52.88,52.79,39.78,78.79,18.7,17.2,69.61,21.22,25.96,72.01,15.86,75.45,46.05,175.93,51.62,86.64
12/8/2020,280.63,32.05,35.35,58.17,53.14,52.96,39.84,78.62,18.67,17.2,69.61,21.49,26.07,71.97,15.81,75.61,46,176.77,51.82,86.71
13/08/2020,281.66,32.12,35.34,58.33,53.24,53.01,39.85,78.67,18.64,17.2,69.61,21.51,26.31,72.22,15.81,75.99,46.08,178.98,51.81,86.84
14/08/2020,282,32.12,35.22,58.19,53.13,52.93,39.81,78.56,18.64,17.2,69.61,21.44,26.15,71.97,15.8,75.57,45.9,176.46,51.81,86.91
17/08/2020,284.73,32.28,35.36,58.49,53.38,53.16,39.96,78.61,18.71,17.2,69.61,21.59,26.18,72.22,15.79,75.65,46.08,177.88,52.02,88.38
18/08/2020,286.62,32.53,35.48,58.78,53.63,53.39,40.11,78.67,18.78,17.2,69.61,21.6,26.12,72.51,15.79,76.04,46.18,178.32,52.19,88.73
19/08/2020,285.07,32.52,35.4,58.65,53.52,53.29,40.05,78.72,18.75,17.2,69.61,21.49,26.12,72.49,15.8,76.16,46.22,178.91,51.93,87.85
20/08/2020,281.1,31.91,35.27,58.01,53.06,52.94,39.87,78.66,18.74,17.2,69.61,21.12,25.57,71.86,15.78,75.57,45.9,175.98,51.08,87.48
21/08/2020,283.68,32.17,35.29,58.18,53.17,53.01,39.9,78.72,18.72,17.2,69.61,21.4,25.9,71.92,15.79,75.73,46.15,174.95,51.5,87.85
24/08/2020,288.83,32.63,35.65,58.93,53.71,53.41,40.08,78.66,18.72,17.2,69.61,21.74,26.17,72.54,15.8,76.68,46.65,178.86,52.37,89.68
25/08/2020,288.65,32.8,35.75,58.97,53.71,53.37,40.03,78.6,18.66,17.2,69.61,21.72,26.47,72.72,15.81,77.32,46.87,179.56,52.58,89.87
26/08/2020,289.16,33.04,36.17,59.33,53.97,53.56,40.12,78.6,18.66,17.2,69.61,21.69,26.64,72.94,15.8,77.37,46.98,179.99,52.91,90.24
27/08/2020,287.95,32.92,36.2,59.17,53.81,53.4,40,78.54,18.6,17.2,69.61,21.55,26.61,73.35,15.81,78.2,47.5,180.81,52.83,90.36
28/08/2020,290.18,32.89,36.36,59.41,54.05,53.64,40.18,78.48,18.7,17.2,69.61,21.68,26.66,73.51,15.81,78.13,47.36,180.54,53,90.56
31/08/2020,286.72,32.62,36.33,59.12,53.86,53.53,40.15,78.48,18.74,17.2,69.61,21.45,26.37,73.42,15.81,78.24,47.35,180.7,52.17,89.66
1/9/2020,288.43,32.73,36.52,59.35,54.04,53.69,40.25,78.47,18.79,17.2,69.61,21.48,26.5,73.48,15.83,78.05,47.38,180.01,52.71,90.39
2/9/2020,288.95,32.94,36.93,59.72,54.3,53.86,40.32,78.58,18.76,17.2,69.61,21.43,26.66,73.99,15.86,79.14,47.78,182.56,52.79,90.94
