date,FIDELITY HONG KONG EQUITY FUND (Class O),FIDELITY ASIA PACIFIC EQUITY FUND (Class O),FIDELITY GLOBAL EQUITY FUND (Class O),FIDELITY GROWTH FUND (Class O),FIDELITY BALANCED FUND (Class O),FIDELITY STABLE GROWTH FUND (Class O),FIDELITY CAPITAL STABLE FUND (Class O),FIDELITY HONG KONG BOND FUND (Class O),FIDELITY WORLD BOND FUND (Class O),FIDELITY US DOLLAR MONEY FUND (Class O),FIDELITY HK DOLLAR MONEY FUND (Class O),FAP FUND - TRACKER FUND PORTFOLIO (Class O),FAP FUND - INVESCO ASIAN EQUITY FUND (Class O),BLACKROCK GLOBAL ALLOCATION FUND (CLASS D2),BLACKROCK FIXED INCOME GLOBAL OPPORTUNITIES FUND (CLASS D2),BLACKROCK GLOBAL LONG-HORIZON EQUITY FUND (CLASS D2),BLACKROCK US FLEXIBLE EQUITY FUND (CLASS D2),BLACKROCK EUROPEAN FUND (CLASS D2),BLACKROCK ASIAN DRAGON FUND (CLASS D2),ALLIANCEBERNSTEIN- CHINA OPPORTUNITY PORTFOLIO (CLASS S1)
04/07/2016,181.24,21.76,23.95,40.16,38.49,40.4,32.28,70.87,16.34,16.34,66.85,16.41,17.52,52.44,13.42,42.04,26.67,121.11,34.17,
05/07/2016,178.75,21.51,23.75,39.77,38.21,40.2,32.19,70.98,16.35,16.34,66.85,16.14,17.33,52.18,13.4,41.62,26.44,118.95,33.89,47.55
06/07/2016,176.79,21.25,23.66,39.43,37.95,39.99,32.09,71.1,16.34,16.34,66.85,15.95,17.14,51.86,13.43,41.21,26.32,116.09,33.55,
07/07/2016,178.57,21.49,23.73,39.65,38.11,40.12,32.14,71.04,16.34,16.34,66.85,16.11,17.27,52.21,13.44,41.77,26.75,118.38,33.96,47.44
08/07/2016,177.67,21.47,23.98,39.74,38.18,40.18,32.19,71.1,16.35,16.34,66.91,16.03,17.25,52.25,13.45,41.79,26.85,118.65,33.85,47.93
11/07/2016,180.33,21.9,24.19,40.23,38.53,40.42,32.28,71.15,16.31,16.34,66.91,16.22,17.46,52.67,13.48,42.45,27.17,120.61,34.44,48.21
12/07/2016,183.52,22.08,24.37,40.61,38.79,40.57,32.3,70.97,16.24,16.34,66.91,16.52,17.68,52.92,13.49,42.89,27.37,122.36,34.84,49.03
13/07/2016,184.41,22.15,24.39,40.73,38.91,40.7,32.41,70.91,16.31,16.34,66.91,16.6,17.81,53.05,13.49,42.92,27.4,122.58,34.89,48.78
14/07/2016,186.18,22.27,24.51,40.96,39.06,40.78,32.42,70.91,16.26,16.34,66.91,16.79,17.9,53.17,13.5,43.22,27.56,123.17,34.96,49.16
15/07/2016,186.89,22.41,24.48,40.98,39.04,40.73,32.35,70.79,16.19,16.34,66.91,16.9,18,53.19,13.5,43.37,27.61,122.6,35.34,49.24
18/07/2016,187.77,22.49,24.53,41.08,39.11,40.77,32.37,70.79,16.17,16.34,66.91,16.94,17.98,53.18,13.5,43.32,27.61,122.14,35.45,49.57
19/07/2016,186.7,22.38,24.44,40.93,38.99,40.66,32.3,70.85,16.14,16.34,66.91,16.82,18.03,53.15,13.49,43.4,27.6,121.77,35.4,49.25
20/07/2016,188.29,22.45,24.61,41.2,39.18,40.8,32.35,70.79,16.13,16.34,66.91,17.05,18.06,53.13,13.5,43.36,27.65,122.17,35.61,49.71
21/07/2016,189.17,22.53,24.6,41.29,39.25,40.85,32.38,70.78,16.13,16.34,66.91,17.09,18.17,53.34,13.51,43.48,27.69,122.38,35.56,49.64
22/07/2016,188.99,22.46,24.63,41.23,39.21,40.82,32.36,70.78,16.13,16.34,66.91,17.05,18.11,53.25,13.51,43.4,27.62,122.51,35.61,49.82
25/07/2016,188.98,22.53,24.57,41.21,39.19,40.8,32.35,70.66,16.13,16.34,66.91,17.09,18.11,53.24,13.51,43.3,27.68,122.37,35.5,49.58
26/07/2016,190.04,22.62,24.57,41.32,39.28,40.89,32.41,70.78,16.15,16.34,66.91,17.24,18.22,53.28,13.51,43.35,27.63,122.97,35.74,49.99
27/07/2016,190.57,22.65,24.56,41.38,39.35,40.96,32.47,70.83,16.19,16.34,66.91,17.16,18.38,53.5,13.51,43.45,27.73,123.55,35.87,49.73
28/07/2016,190.21,22.71,24.6,41.39,39.38,41.03,32.55,70.95,16.26,16.34,66.91,17.24,18.44,53.54,13.52,43.42,27.58,123.73,36,49.84
29/07/2016,187.72,22.66,24.77,41.53,39.54,41.25,32.74,71.01,16.42,16.34,66.91,17.01,18.38,53.72,13.51,43.47,27.63,123.99,35.79,49.44
01/08/2016,189.66,22.85,24.74,41.61,39.58,41.24,32.7,71.12,16.36,16.34,66.91,17.24,18.38,53.79,13.53,43.63,27.65,124.01,36.2,49.68
03/08/2016,186.99,22.45,24.52,41.05,39.16,40.9,32.52,71,16.33,16.34,66.91,16.9,18.22,53.35,13.51,43.3,27.51,123.04,35.54,49.33
04/08/2016,187.88,22.54,24.54,41.16,39.26,41,32.59,71,16.37,16.34,66.91,16.97,18.25,53.6,13.52,43.49,27.63,123.01,35.8,49.49
