date,FIDELITY HONG KONG EQUITY FUND (Class O),FIDELITY ASIA PACIFIC EQUITY FUND (Class O),FIDELITY GLOBAL EQUITY FUND (Class O),FIDELITY GROWTH FUND (Class O),FIDELITY BALANCED FUND (Class O),FIDELITY STABLE GROWTH FUND (Class O),FIDELITY CAPITAL STABLE FUND (Class O),FIDELITY HONG KONG BOND FUND (Class O),FIDELITY WORLD BOND FUND (Class O),FIDELITY US DOLLAR MONEY FUND (Class O),FIDELITY HK DOLLAR MONEY FUND (Class O),FAP FUND - TRACKER FUND PORTFOLIO (Class O),FAP FUND - INVESCO ASIAN EQUITY FUND (Class O),BLACKROCK GLOBAL ALLOCATION FUND (CLASS D2),BLACKROCK FIXED INCOME GLOBAL OPPORTUNITIES FUND (CLASS D2),BLACKROCK GLOBAL LONG-HORIZON EQUITY FUND (CLASS D2),BLACKROCK US FLEXIBLE EQUITY FUND (CLASS D2),BLACKROCK EUROPEAN FUND (CLASS D2),BLACKROCK ASIAN DRAGON FUND (CLASS D2),ALLIANCEBERNSTEIN- CHINA OPPORTUNITY PORTFOLIO (CLASS S1)
2/10/2019,251.21,28.01,30.77,51.42,47.34,47.62,36.37,75.46,17.12,17.03,68.77,21.85,22.35,62.3,15.12,63.16,39.17,137.98,44.78,70.28
3/10/2019,252.07,27.96,30.92,51.53,47.47,47.78,36.5,75.57,17.22,17.03,68.83,21.93,22.3,62.32,15.13,63.03,38.95,138.06,44.81,71.08
4/10/2019,250.33,27.97,31.22,51.62,47.53,47.83,36.53,75.68,17.21,17.03,68.83,21.69,22.3,62.68,15.14,63.65,39.33,139.42,44.89,71.1
8/10/2019,250.66,28.05,30.82,51.43,47.38,47.69,36.44,75.56,17.18,17.03,68.83,21.77,22.43,62.58,15.13,62.95,39.17,139.09,44.98,70.68
9/10/2019,248.92,27.97,31.02,51.4,47.34,47.64,36.39,75.56,17.14,17.03,68.83,21.61,22.25,62.56,15.14,63.17,39.35,139.46,44.86,71.04
10/10/2019,250.13,28.06,31.17,51.59,47.45,47.67,36.36,75.5,17.07,17.03,68.83,21.61,22.27,62.69,15.13,63.55,39.68,139.86,45.08,72.11
11/10/2019,255.67,28.48,31.59,52.37,48.02,48.09,36.56,75.33,17.09,17.03,68.83,22.18,22.62,63.19,15.12,64.55,40.27,144.49,45.67,73.47
14/10/2019,257.22,28.68,31.53,52.44,48.06,48.12,36.57,75.32,17.09,17.04,68.83,22.3,22.86,63.09,15.11,64.29,40.1,144.11,45.92,73.94
15/10/2019,257.22,28.73,31.81,52.72,48.25,48.23,36.61,75.38,17.05,17.04,68.83,22.26,22.89,63.35,15.13,64.77,40.34,144.66,45.92,74.07
16/10/2019,258.08,28.85,31.81,52.85,48.34,48.31,36.65,75.26,17.07,17.04,68.83,22.38,23.08,63.46,15.13,65.07,40.56,145.17,46.13,74.37
17/10/2019,259.46,28.95,31.94,53.05,48.52,48.47,36.76,75.26,17.12,17.04,68.83,22.58,23.24,63.77,15.14,65.7,40.82,146.43,46.45,74.66
18/10/2019,257.72,28.89,31.89,52.94,48.43,48.41,36.73,75.2,17.13,17.04,68.83,22.46,23.19,63.67,15.13,65.6,40.86,145.58,46.35,74.05
21/10/2019,258.05,28.91,32.08,53.1,48.54,48.47,36.74,75.08,17.1,17.04,68.83,22.42,23.16,63.72,15.15,65.79,40.98,146.08,46.56,74.23
22/10/2019,257.7,28.99,31.94,53.01,48.48,48.43,36.73,75.14,17.11,17.04,68.89,22.5,23.24,63.83,15.15,65.94,41.3,146.55,46.6,73.86
23/10/2019,255.61,28.87,32.02,52.93,48.42,48.4,36.72,75.25,17.11,17.04,68.89,22.34,23.16,63.74,15.14,66.17,41.26,145.18,46.22,73.47
24/10/2019,257.51,29.02,32.08,53.17,48.59,48.52,36.78,75.19,17.12,17.04,68.89,22.46,23.16,63.87,15.16,66.32,41.34,146.15,46.4,73.92
25/10/2019,257.34,29.05,32.2,53.31,48.68,48.56,36.78,75.19,17.08,17.04,68.89,22.46,23.16,63.89,15.16,66.35,41.32,146.23,46.44,74.32
28/10/2019,259.74,29.23,32.31,53.53,48.81,48.62,36.78,75.13,17.04,17.04,68.89,22.58,23.4,64.06,15.17,67.05,41.74,148.12,46.75,75.11
29/10/2019,258.7,29.26,32.34,53.57,48.85,48.67,36.82,75.19,17.06,17.06,68.89,22.54,23.43,64.15,15.16,67.29,41.72,147.92,46.87,74.87
30/10/2019,257.31,29.21,32.4,53.5,48.81,48.67,36.83,75.24,17.09,17.06,68.89,22.42,23.38,64.05,15.15,67.38,41.54,148.38,46.8,74.79
31/10/2019,259.21,29.29,32.38,53.68,49,48.88,37.01,75.35,17.21,17.06,68.89,22.6,23.43,64.2,15.15,67.34,41.39,148.99,46.95,74.6
1/11/2019,261.11,29.36,32.62,53.97,49.21,49.02,37.07,75.46,17.19,17.06,68.89,22.8,23.43,,,,,,,
4/11/2019,265.42,29.7,32.71,54.38,49.47,49.17,37.09,75.35,17.13,17.06,68.89,23.16,23.83,64.7,15.22,68.07,42.13,151.5,47.92,76.6
5/11/2019,266.97,29.9,32.62,54.43,49.44,49.05,36.95,75.23,17,17.06,68.89,23.24,24.19,64.62,15.22,67.97,42.25,150.09,48.2,77.24
