date,FIDELITY HONG KONG EQUITY FUND (Class O),FIDELITY ASIA PACIFIC EQUITY FUND (Class O),FIDELITY GLOBAL EQUITY FUND (Class O),FIDELITY GROWTH FUND (Class O),FIDELITY BALANCED FUND (Class O),FIDELITY STABLE GROWTH FUND (Class O),FIDELITY CAPITAL STABLE FUND (Class O),FIDELITY HONG KONG BOND FUND (Class O),FIDELITY WORLD BOND FUND (Class O),FIDELITY US DOLLAR MONEY FUND (Class O),FIDELITY HK DOLLAR MONEY FUND (Class O),FAP FUND - TRACKER FUND PORTFOLIO (Class O),FAP FUND - INVESCO ASIAN EQUITY FUND (Class O),BLACKROCK GLOBAL ALLOCATION FUND (CLASS D2),BLACKROCK FIXED INCOME GLOBAL OPPORTUNITIES FUND (CLASS D2),BLACKROCK GLOBAL LONG-HORIZON EQUITY FUND (CLASS D2),BLACKROCK US FLEXIBLE EQUITY FUND (CLASS D2),BLACKROCK EUROPEAN FUND (CLASS D2),BLACKROCK ASIAN DRAGON FUND (CLASS D2),ALLIANCEBERNSTEIN- CHINA OPPORTUNITY PORTFOLIO (CLASS S1)
1/1/2019,236.75,26.11,26.77,46.75,43.47,44.14,34.11,71.27,16.23,16.76,67.99,21.23,22.01,56.62,14.25,53.22,34.49,121.9,41.08,61.49
2/1/2019,230.81,25.7,26.71,46.26,43.13,43.91,34.02,71.32,16.25,16.76,67.99,20.58,21.66,56.44,14.25,52.74,34.22,120.3,40.23,60.16
3/1/2019,229.59,25.58,26.34,46.02,42.99,43.86,34.05,71.44,16.32,16.76,68.05,20.58,21.5,56.71,14.26,52.47,34.27,120.12,39.72,59.37
4/1/2019,234.12,25.86,27.01,46.7,43.46,44.17,34.16,71.61,16.27,16.76,68.05,21.02,21.66,56.81,14.27,52.79,34.55,121.31,40.2,60.71
7/1/2019,236.2,26.2,27.19,47.11,43.76,44.39,34.27,71.43,16.29,16.77,68.05,21.22,21.99,57.4,14.28,53.33,34.91,123.31,40.79,61.53
8/1/2019,236.54,26.16,27.39,47.26,43.84,44.42,34.25,71.31,16.24,16.77,68.05,21.18,21.99,57.62,14.28,53.71,35.35,124.88,40.7,61.69
9/1/2019,241.42,26.63,27.59,47.88,44.32,44.81,34.47,71.31,16.31,16.77,68.05,21.71,22.37,57.95,14.29,54.27,35.69,126.76,41.47,62.91
10/1/2019,242.11,26.78,27.64,47.94,44.37,44.85,34.49,71.37,16.31,16.77,68.05,21.79,22.53,57.82,14.31,53.87,35.43,125.92,41.61,63.2
11/1/2019,243.5,26.8,27.65,48.03,44.43,44.89,34.51,71.37,16.3,16.77,68.05,21.83,22.7,57.89,14.31,53.97,35.6,125.82,41.85,63.65
14/01/2019,240.35,26.58,27.54,47.71,44.21,44.73,34.44,71.42,16.31,16.77,68.05,21.54,22.4,57.85,14.32,53.82,35.55,125.1,41.28,62.88
15/01/2019,245.23,26.97,27.77,48.24,44.58,45,34.56,71.36,16.3,16.77,68.05,21.99,22.7,58.08,14.32,54.43,35.74,125.53,41.85,63.98
16/01/2019,246.27,27.01,27.8,48.3,44.62,45.01,34.55,71.36,16.28,16.77,68.05,22.07,22.83,58.19,14.31,54.8,36.12,125.67,41.99,64.5
17/01/2019,245.22,27.03,27.88,48.27,44.58,44.96,34.51,71.36,16.25,16.77,68.05,21.99,22.89,58.12,14.32,54.82,36.09,125.71,42.1,64.32
18/01/2019,248.17,27.29,28.23,48.78,44.93,45.2,34.6,71.24,16.23,16.77,68.05,22.19,22.97,58.47,14.32,55.36,36.58,127.05,42.52,65.44
21/01/2019,249.03,27.34,28.25,48.87,45,45.25,34.62,71.24,16.23,16.79,68.05,22.27,23.11,58.57,14.32,55.82,36.85,127.55,42.74,
22/01/2019,246.93,27.09,27.94,48.48,44.73,45.07,34.55,71.35,16.25,16.79,68.05,22.11,22.88,58.38,14.33,55.43,36.52,126.99,42.24,64.86
23/01/2019,246.93,27.04,27.94,48.43,44.71,45.07,34.57,71.35,16.28,16.79,68.11,22.15,22.69,58.39,14.33,55.61,36.6,127.23,42.05,64.88
24/01/2019,248.14,27.2,27.96,48.56,44.82,45.17,34.64,71.52,16.3,16.79,68.11,22.23,22.88,58.29,14.35,55.14,36.32,126.64,42.46,65.4
25/01/2019,251.97,27.58,28.21,49.12,45.23,45.47,34.79,71.52,16.31,16.79,68.11,22.64,23.15,58.64,14.36,55.78,36.7,127.95,43.07,66.34
28/01/2019,251.78,27.58,28.04,48.98,45.14,45.43,34.78,71.51,16.34,16.79,68.11,22.59,23.21,58.39,14.37,55.26,36.28,127.33,43.03,66.02
29/01/2019,251.42,27.4,28.02,48.94,45.11,45.41,34.78,71.68,16.34,16.79,68.11,22.55,23.1,58.68,14.37,55.88,36.56,128.82,42.88,66.41
30/01/2019,252.46,27.52,28.31,49.19,45.31,45.58,34.88,71.68,16.38,16.79,68.11,22.63,23.13,58.76,14.38,55.89,36.64,128.31,43.2,67.06
31/01/2019,255.24,27.77,28.63,49.73,45.75,45.96,35.12,71.91,16.46,16.8,68.11,22.92,23.48,59.43,14.42,56.77,36.98,128.77,43.66,67.92
1/2/2019,255.76,27.81,28.63,49.77,45.76,45.94,35.08,72.02,16.42,16.8,68.11,22.88,23.56,59.57,14.43,56.92,37.1,129.72,43.79,67.93
4/2/2019,256.27,27.79,28.75,49.87,45.8,45.94,35.05,71.96,16.37,16.8,68.11,22.91,23.56,59.56,14.43,56.84,37.21,129.73,,67.97
8/2/2019,255.9,27.78,28.45,49.52,45.56,45.76,34.97,72.3,16.37,16.8,68.11,22.91,23.37,59.32,14.44,57.24,37.16,128.68,43.3,67.66
11/2/2019,257.62,27.88,28.47,49.63,45.6,45.74,34.91,72.23,16.29,16.8,68.11,23.07,23.48,59.4,14.44,57.51,37.35,129.03,43.63,68.05
12/2/2019,257.79,27.95,28.81,49.99,45.85,45.92,34.99,72.06,16.29,16.8,68.11,23.11,23.53,59.66,14.44,57.75,37.63,129.77,43.91,68.42
13/02/2019,261.1,28.12,28.92,50.34,46.1,46.09,35.06,72,16.28,16.81,68.17,23.36,23.75,59.85,14.45,58.42,37.93,130.67,44.07,69.13
14/02/2019,260.74,28.05,28.88,50.27,46.05,46.07,35.06,72.06,16.29,16.81,68.17,23.32,23.75,59.72,14.45,58.24,37.74,130.06,43.82,68.81
15/02/2019,255.69,27.76,29.13,50.07,45.91,45.97,35.02,72.11,16.29,16.81,68.17,22.87,23.45,59.97,14.46,58.67,38.22,131.14,43.13,67.81
18/02/2019,260.37,27.98,29.22,50.54,46.27,46.25,35.17,72.11,16.33,16.81,68.17,23.27,23.61,60.19,14.47,58.99,38.35,132.66,43.71,
19/02/2019,259.32,27.94,29.25,50.5,46.25,46.26,35.19,72.16,16.36,16.81,68.17,23.19,23.5,60.23,14.48,58.99,38.38,132.17,43.71,68.84
20/02/2019,261.93,28.22,29.31,50.79,46.47,46.42,35.28,72.22,16.37,16.81,68.17,23.39,23.8,60.41,14.47,59.17,38.48,133.27,44.34,69.55
21/02/2019,263.84,28.31,29.25,50.87,46.51,46.42,35.25,72.16,16.33,16.81,68.17,23.52,23.88,60.3,14.46,59.18,38.37,133.26,44.58,70.09
22/02/2019,266.27,28.48,29.41,51.15,46.72,46.59,35.35,72.22,16.36,16.81,68.17,23.68,23.88,60.38,14.46,59.53,38.49,133.38,44.88,70.95
25/02/2019,268.17,28.85,29.55,51.46,46.95,46.76,35.42,72.27,16.36,16.81,68.17,23.8,24.1,60.62,14.48,60.04,38.76,133.81,45.36,71.98
26/02/2019,266.42,28.65,29.58,51.37,46.89,46.73,35.43,72.27,16.38,16.83,68.17,23.64,24.07,60.52,14.48,59.93,38.57,134.5,45.18,71.89
27/02/2019,266.07,28.6,29.55,51.28,46.82,46.67,35.39,72.27,16.37,16.83,68.17,23.64,24.02,60.49,14.49,60.04,38.47,134.73,45.08,71.19
28/02/2019,264.67,28.42,29.41,51.04,46.63,46.51,35.3,72.15,16.34,16.83,68.17,23.51,23.85,60.38,14.51,60.13,38.4,134.86,44.72,70.74
1/3/2019,267.45,28.55,29.61,51.36,46.84,46.64,35.33,72.03,16.3,16.83,68.17,23.67,23.91,60.52,14.48,60.51,38.65,135.99,45.08,71.77
4/3/2019,269.17,28.65,29.61,51.54,46.96,46.71,35.36,72.03,16.28,16.83,68.17,23.75,23.93,60.5,14.48,60.75,38.68,135.73,45.33,72.54
5/3/2019,269.52,28.7,29.58,51.5,46.94,46.7,35.35,72.09,16.28,16.83,68.17,23.79,23.85,60.3,14.49,60.36,38.28,135.48,45.56,73.06
6/3/2019,270.38,28.73,29.49,51.53,46.98,46.75,35.4,72.14,16.32,16.83,68.17,23.83,23.96,60.33,14.49,60.37,38.26,135.69,45.85,73.64
7/3/2019,267.07,28.61,29.24,51.07,46.66,46.53,35.3,72.2,16.34,16.83,68.23,23.59,23.85,60.02,14.49,59.78,37.92,133.63,45.32,71.91
8/3/2019,261.32,28.21,29.04,50.41,46.18,46.19,35.14,72.25,16.33,16.83,68.23,23.18,23.39,59.76,14.49,59.26,37.69,132.93,44.47,70.57
11/3/2019,264.61,28.38,29.37,50.87,46.5,46.41,35.24,72.19,16.32,16.84,68.23,23.42,23.47,60.19,14.5,59.99,38.2,133.45,44.99,71.81
12/3/2019,267.91,28.68,29.52,51.31,46.85,46.7,35.41,72.25,16.37,16.84,68.23,23.83,23.83,60.49,14.51,60.58,38.59,134.3,45.59,73.34
13/03/2019,266.69,28.61,29.65,51.32,46.87,46.73,35.44,72.3,16.4,16.84,68.23,23.67,23.8,60.58,14.52,60.99,38.87,135.04,45.52,72.66
14/03/2019,267.03,28.59,29.66,51.35,46.88,46.73,35.43,72.3,16.39,16.84,68.23,23.75,23.8,60.6,14.5,61.12,38.83,136.12,45.47,72.46
15/03/2019,268.24,28.78,29.83,51.67,47.13,46.94,35.55,72.41,16.43,16.84,68.23,23.91,23.96,60.74,14.53,61.69,38.99,137.39,46.05,73.39
