date,FIDELITY HONG KONG EQUITY FUND (Class O),FIDELITY ASIA PACIFIC EQUITY FUND (Class O),FIDELITY GLOBAL EQUITY FUND (Class O),FIDELITY GROWTH FUND (Class O),FIDELITY BALANCED FUND (Class O),FIDELITY STABLE GROWTH FUND (Class O),FIDELITY CAPITAL STABLE FUND (Class O),FIDELITY HONG KONG BOND FUND (Class O),FIDELITY WORLD BOND FUND (Class O),FIDELITY US DOLLAR MONEY FUND (Class O),FIDELITY HK DOLLAR MONEY FUND (Class O),FAP FUND - TRACKER FUND PORTFOLIO (Class O),FAP FUND - INVESCO ASIAN EQUITY FUND (Class O),BLACKROCK GLOBAL ALLOCATION FUND (CLASS D2),BLACKROCK FIXED INCOME GLOBAL OPPORTUNITIES FUND (CLASS D2),BLACKROCK GLOBAL LONG-HORIZON EQUITY FUND (CLASS D2),BLACKROCK US FLEXIBLE EQUITY FUND (CLASS D2),BLACKROCK EUROPEAN FUND (CLASS D2),BLACKROCK ASIAN DRAGON FUND (CLASS D2),ALLIANCEBERNSTEIN- CHINA OPPORTUNITY PORTFOLIO (CLASS S1)
1/4/2020,233.01,24.75,26.5,46.24,43.97,45.53,35.7,75.9,17.61,17.15,69.37,19.44,18.85,57.48,14.93,56.34,33.61,125.45,39.23,68.38
2/4/2020,235.77,24.87,26.85,46.5,44.13,45.6,35.69,75.78,17.54,17.15,69.37,19.59,19.09,57.02,14.69,55.9,33.37,122.42,39.85,69.3
3/4/2020,235.07,24.7,26.53,46.18,43.88,45.4,35.58,75.84,17.5,17.15,69.37,19.54,18.9,57.55,14.5,56.73,33.87,122.55,39.59,68.83
6/4/2020,239.55,25.31,27.93,47.52,44.83,46.05,35.84,75.72,17.45,17.16,69.37,19.96,19.41,58.56,14.68,58.28,34.97,126.69,40.67,70.15
7/4/2020,245.25,25.89,28.13,48.32,45.43,46.5,36.06,75.49,17.48,17.16,69.37,20.42,20.28,60.32,14.69,60.92,36.84,131.94,41.83,71.67
8/4/2020,242.31,25.72,28.7,48.45,45.51,46.54,36.07,75.49,17.47,17.16,69.37,20.17,19.82,59.54,14.9,59.15,35.95,130.44,41.53,71.16
9/4/2020,246.11,26.18,29.12,49.13,46.07,47.06,36.4,75.72,17.63,17.16,69.37,20.42,20.17,61.24,14.74,61.25,37.65,134.98,42.37,72.03
14/04/2020,247.98,26.57,29.65,49.72,46.54,47.46,36.64,75.99,17.71,17.16,69.37,20.58,20.64,61.99,14.89,61.95,37.91,136.99,42.75,72.97
15/04/2020,245.39,26.44,29.12,49.1,46.12,47.19,36.56,76.22,17.76,17.16,69.37,20.25,20.45,61.21,14.88,61.08,37.03,131.36,42.35,72.47
16/04/2020,245.21,26.37,29.3,49.13,46.13,47.18,36.53,76.21,17.73,17.16,69.37,20.21,20.47,61.32,14.95,61.13,37,132.65,42.24,72.95
17/04/2020,248.66,26.96,29.96,50.03,46.78,47.67,36.77,76.27,17.75,17.16,69.37,20.46,21.12,62.42,14.98,62.88,38.17,137.49,43.24,73.6
20/04/2020,249.34,26.87,29.65,49.91,46.69,47.6,36.73,76.32,17.74,17.16,69.37,20.5,20.9,62.08,14.98,62.39,37.83,137.31,43.17,74.16
21/04/2020,244.16,26.23,28.75,48.75,45.85,46.97,36.43,76.38,17.72,17.16,69.37,20,20.44,61.38,14.97,61.2,37.13,135.15,42.21,72.51
22/04/2020,246.05,26.42,29.26,49.19,46.14,47.14,36.47,76.49,17.66,17.16,69.43,20.08,20.39,61.43,14.95,61.38,37.17,135.24,42.63,73.19
