date,FIDELITY HONG KONG EQUITY FUND (Class O),FIDELITY ASIA PACIFIC EQUITY FUND (Class O),FIDELITY GLOBAL EQUITY FUND (Class O),FIDELITY GROWTH FUND (Class O),FIDELITY BALANCED FUND (Class O),FIDELITY STABLE GROWTH FUND (Class O),FIDELITY CAPITAL STABLE FUND (Class O),FIDELITY HONG KONG BOND FUND (Class O),FIDELITY WORLD BOND FUND (Class O),FIDELITY US DOLLAR MONEY FUND (Class O),FIDELITY HK DOLLAR MONEY FUND (Class O),FAP FUND - TRACKER FUND PORTFOLIO (Class O),FAP FUND - INVESCO ASIAN EQUITY FUND (Class O),BLACKROCK GLOBAL ALLOCATION FUND (CLASS D2),BLACKROCK FIXED INCOME GLOBAL OPPORTUNITIES FUND (CLASS D2),BLACKROCK GLOBAL LONG-HORIZON EQUITY FUND (CLASS D2),BLACKROCK US FLEXIBLE EQUITY FUND (CLASS D2),BLACKROCK EUROPEAN FUND (CLASS D2),BLACKROCK ASIAN DRAGON FUND (CLASS D2),ALLIANCEBERNSTEIN- CHINA OPPORTUNITY PORTFOLIO (CLASS S1)
5/10/2020,277.9,32.46,35.49,58.18,53.11,52.91,39.79,78.75,18.62,17.2,69.61,20.34,26.11,72.63,15.82,76.83,46.05,181.68,51.01,87.34
6/10/2020,281.51,32.67,35.23,58.35,53.25,53.03,39.86,78.81,18.65,17.2,69.61,20.55,26.33,72.99,15.83,77.12,46.33,181.22,51.52,87.85
7/10/2020,283.4,32.98,35.58,58.64,53.42,53.1,39.85,78.75,18.58,17.2,69.61,20.78,26.55,72.93,15.84,77.22,46.35,180.3,51.8,88.36
8/10/2020,283.74,33.26,35.82,58.93,53.63,53.27,39.94,78.75,18.59,17.2,69.61,20.68,26.76,73.45,15.85,78.01,46.94,181.68,52.18,88.56
9/10/2020,283.91,33.35,36.21,59.26,53.9,53.52,40.1,78.8,18.66,17.2,69.61,20.71,26.84,73.96,15.87,78.56,47.27,183.8,52.21,89.05
12/10/2020,290.09,33.82,36.65,59.99,54.45,53.93,40.3,78.8,18.69,17.2,69.61,21.13,27.25,74.41,15.89,79.29,47.87,185.58,53.03,90.49
14/10/2020,289.91,34.07,36.32,59.84,54.35,53.88,40.31,78.97,18.71,17.2,69.61,21.08,27.33,74.6,15.91,79.43,48.03,186.44,53.03,90.39
15/10/2020,284.91,33.45,36.04,59,53.73,53.39,40.04,79.02,18.66,17.2,69.61,20.65,27.01,73.54,15.88,77.92,47.19,182.49,51.99,88.45
16/10/2020,287.66,33.55,36.11,59.3,53.95,53.56,40.12,78.96,18.67,17.2,69.61,20.89,26.87,74.09,15.88,78.55,47.69,185.99,52.12,89.62
19/10/2020,287.64,33.75,35.79,59.29,53.95,53.58,40.15,78.9,18.7,17.2,69.61,20.99,27.14,74.14,15.88,78.55,47.78,186.32,52.66,89.37
20/10/2020,289.87,33.78,35.91,59.48,54.09,53.68,40.2,78.9,18.7,17.2,69.61,21.01,27.17,73.85,15.88,78.24,47.38,186.95,52.96,90.31
21/10/2020,292.27,33.94,35.91,59.69,54.25,53.81,40.28,78.84,18.72,17.2,69.61,21.17,27.44,73.9,15.87,78.22,47.5,186.44,53.34,90.88
22/10/2020,291.06,33.83,35.88,59.45,54.03,53.6,40.12,78.84,18.64,17.2,69.61,21.19,27.44,73.43,15.86,77.61,47.26,185.09,53.17,90.47
23/10/2020,289.51,33.64,35.95,59.39,54,53.58,40.12,78.84,18.66,17.2,69.61,21.31,27.52,73.65,15.86,77.85,47.58,185.38,53.09,89.95
27/10/2020,288.28,33.55,35.22,58.68,53.54,53.32,40.06,79,18.75,17.2,69.61,21.16,27.49,72.76,15.86,76.11,46.56,180.23,52.99,89.85
