date,FIDELITY HONG KONG EQUITY FUND (Class O),FIDELITY ASIA PACIFIC EQUITY FUND (Class O),FIDELITY GLOBAL EQUITY FUND (Class O),FIDELITY GROWTH FUND (Class O),FIDELITY BALANCED FUND (Class O),FIDELITY STABLE GROWTH FUND (Class O),FIDELITY CAPITAL STABLE FUND (Class O),FIDELITY HONG KONG BOND FUND (Class O),FIDELITY WORLD BOND FUND (Class O),FIDELITY US DOLLAR MONEY FUND (Class O),FIDELITY HK DOLLAR MONEY FUND (Class O),FAP FUND - TRACKER FUND PORTFOLIO (Class O),FAP FUND - INVESCO ASIAN EQUITY FUND (Class O),BLACKROCK GLOBAL ALLOCATION FUND (CLASS D2),BLACKROCK FIXED INCOME GLOBAL OPPORTUNITIES FUND (CLASS D2),BLACKROCK GLOBAL LONG-HORIZON EQUITY FUND (CLASS D2),BLACKROCK US FLEXIBLE EQUITY FUND (CLASS D2),BLACKROCK EUROPEAN FUND (CLASS D2),BLACKROCK ASIAN DRAGON FUND (CLASS D2),ALLIANCEBERNSTEIN- CHINA OPPORTUNITY PORTFOLIO (CLASS S1)
03/10/2017,254.85,27.68,28.76,50.37,45.97,45.86,34.81,70.87,16.19,16.45,67.15,22.47,23.84,60.1,14.27,52.91,35.07,148.45,45.58,71.73
04/10/2017,256.43,27.76,28.78,50.51,46.07,45.94,34.86,70.81,16.2,16.45,67.15,22.62,23.97,60.18,14.28,52.86,35.11,148.23,45.75,71.87
06/10/2017,257.13,27.82,28.8,50.52,46.06,45.9,34.81,70.81,16.15,16.45,67.15,22.69,24.13,60.08,14.29,52.83,35.31,147.12,45.95,72.37
09/10/2017,256.23,27.79,28.78,50.48,46.04,45.91,34.83,70.86,16.18,16.45,67.15,22.62,24.02,60.16,14.27,52.87,35.21,147.91,45.76,72.47
10/10/2017,257.46,27.97,28.9,50.77,46.27,46.12,34.96,70.8,16.23,16.45,67.15,22.72,24.21,60.37,14.28,52.99,35.27,148.57,46.16,73.11
11/10/2017,256.57,28.15,28.96,50.8,46.29,46.13,34.97,70.8,16.24,16.45,67.15,22.61,24.32,60.36,14.3,53.08,35.21,149.38,46.33,73.02
12/10/2017,257.27,28.27,28.96,50.9,46.38,46.22,35.03,70.91,16.27,16.45,67.15,22.72,24.38,60.35,14.27,53.06,35.2,149.17,46.66,72.96
13/10/2017,257.62,28.33,28.98,50.99,46.46,46.31,35.1,71.09,16.31,16.45,67.15,22.72,24.43,60.54,14.27,53.11,35.19,150.01,46.69,72.95
16/10/2017,259.19,28.48,28.99,51.13,46.56,46.36,35.12,71.14,16.29,16.45,67.15,22.88,24.56,60.58,14.28,53.1,35.36,149.33,47.19,73.86
17/10/2017,259.01,28.43,28.95,51.03,46.48,46.29,35.07,71.08,16.27,16.45,67.15,22.91,24.56,60.4,14.27,53,35.36,148.34,47.19,73.14
18/10/2017,259.53,28.4,28.98,51.05,46.47,46.27,35.04,70.96,16.24,16.45,67.15,22.91,24.51,60.49,14.28,53,35.43,148.55,47.03,73.37
19/10/2017,254.95,28.21,28.96,50.78,46.31,46.19,35.04,70.67,16.31,16.45,67.15,22.53,24.35,60.47,14.27,52.96,35.25,147.9,46.7,72.23
20/10/2017,258.11,28.33,29.04,50.99,46.41,46.2,34.98,70.61,16.21,16.45,67.15,22.76,24.38,60.5,14.3,53.2,35.57,147.95,47,73.42
23/10/2017,257.04,28.29,28.97,50.92,46.36,46.16,34.96,70.55,16.21,16.45,67.21,22.6,24.32,60.58,14.3,53.41,35.69,147.98,46.87,72.82
24/10/2017,255.63,28.16,28.96,50.8,46.25,46.05,34.89,70.72,16.16,16.45,67.21,22.53,24.27,60.43,14.3,53.08,35.54,147.34,46.78,72.54
25/10/2017,257.03,28.15,28.89,50.86,46.3,46.1,34.92,70.55,16.19,16.45,67.21,22.6,24.38,60.34,14.3,53.15,35.63,148.19,46.95,72.61
26/10/2017,255.97,28.07,28.96,50.84,46.27,46.04,34.87,70.55,16.14,16.45,67.21,22.52,24.29,60.2,14.28,53.26,35.72,147.87,46.81,72
27/10/2017,257.2,28.14,29.06,51.01,46.37,46.09,34.86,70.54,16.09,16.45,67.21,22.68,24.37,60.22,14.27,53.55,35.76,147.27,46.92,72.36
30/10/2017,256.13,28.27,29.06,51.05,46.43,46.19,34.96,70.71,16.17,16.45,67.21,22.64,24.37,60.5,14.28,53.62,35.84,147.75,47.16,72.34
31/10/2017,256.12,28.34,29.12,51.1,46.48,46.24,35,70.83,16.19,16.45,67.21,22.59,24.51,60.48,14.28,53.61,35.81,147.76,47.46,72.8
01/11/2017,259.63,28.68,29.21,51.5,46.76,46.43,35.08,70.88,16.16,16.46,67.21,22.82,24.81,,,,,,,
02/11/2017,259.45,28.71,29.22,51.56,46.82,46.51,35.15,71,16.22,16.46,67.21,22.74,24.86,60.62,14.28,53.81,35.72,147.83,48.05,73.23
03/11/2017,259.97,28.78,29.28,51.61,46.84,46.5,35.12,70.99,16.18,16.46,67.21,22.85,24.86,60.56,14.28,53.83,35.8,147.81,48.15,73.63
06/11/2017,260.31,28.85,29.31,51.68,46.89,46.55,35.15,70.99,16.19,16.46,67.21,22.85,24.81,60.81,14.28,53.93,35.91,147.88,48.29,74.51
07/11/2017,263.47,29.01,29.27,51.91,47.07,46.69,35.23,71.1,16.2,16.46,67.21,23.16,25.08,60.89,14.29,53.93,35.91,147.47,48.51,75.16
08/11/2017,262.76,28.97,29.28,51.89,47.05,46.66,35.2,71.16,16.19,16.46,67.21,23.12,25.03,60.82,14.27,53.91,35.72,146.48,48.28,74.92
