date,FIDELITY HONG KONG EQUITY FUND (Class O),FIDELITY ASIA PACIFIC EQUITY FUND (Class O),FIDELITY GLOBAL EQUITY FUND (Class O),FIDELITY GROWTH FUND (Class O),FIDELITY BALANCED FUND (Class O),FIDELITY STABLE GROWTH FUND (Class O),FIDELITY CAPITAL STABLE FUND (Class O),FIDELITY HONG KONG BOND FUND (Class O),FIDELITY WORLD BOND FUND (Class O),FIDELITY US DOLLAR MONEY FUND (Class O),FIDELITY HK DOLLAR MONEY FUND (Class O),FAP FUND - TRACKER FUND PORTFOLIO (Class O),FAP FUND - INVESCO ASIAN EQUITY FUND (Class O),BLACKROCK GLOBAL ALLOCATION FUND (CLASS D2),BLACKROCK FIXED INCOME GLOBAL OPPORTUNITIES FUND (CLASS D2),BLACKROCK GLOBAL LONG-HORIZON EQUITY FUND (CLASS D2),BLACKROCK US FLEXIBLE EQUITY FUND (CLASS D2),BLACKROCK EUROPEAN FUND (CLASS D2),BLACKROCK ASIAN DRAGON FUND (CLASS D2),ALLIANCEBERNSTEIN- CHINA OPPORTUNITY PORTFOLIO (CLASS S1)
2/10/2018,252.94,27.98,30.99,51.99,47.01,46.46,34.98,69.63,15.94,16.68,67.75,22.22,23.25,61.28,14.34,59.46,40.96,142.74,43.39,69.85
3/10/2018,252.94,27.91,30.99,51.9,46.92,46.36,34.9,69.63,15.88,16.68,67.75,22.17,23.09,61.33,14.34,59.86,41.04,143.85,43.46,70.05
4/10/2018,248.91,27.45,30.73,51.36,46.51,46.03,34.72,69.34,15.84,16.68,67.75,21.86,22.62,61.05,14.33,58.99,40.81,141.83,42.56,68.57
5/10/2018,248.03,27.23,30.57,51.1,46.31,45.86,34.61,69.34,15.79,16.68,67.75,21.82,22.32,60.76,14.31,58.62,40.65,140.54,41.83,67.84
8/10/2018,243.64,26.87,30.43,50.65,45.97,45.61,34.49,69.28,15.78,16.68,67.75,21.54,22.08,60.53,14.3,58.13,40.38,138.1,41.17,66.81
9/10/2018,243.64,26.73,30.36,50.48,45.87,45.54,34.47,69.22,15.79,16.68,67.75,21.5,22.05,60.39,14.3,57.79,40.38,137.18,41.02,66.5
10/10/2018,243.46,26.71,29.68,50.05,45.59,45.38,34.43,69.27,15.85,16.68,67.75,21.54,22.08,60.23,14.31,57.3,40.01,135.95,41.01,65.57
11/10/2018,235.06,25.69,29.07,48.8,44.72,44.79,34.18,69.44,15.88,16.69,67.75,20.74,21.17,59.48,14.3,56.62,39.34,134.76,39.56,63.7
12/10/2018,239.6,26.29,29.34,49.35,45.12,45.07,34.3,69.44,15.88,16.69,67.81,21.18,21.72,59.35,14.31,56.27,38.97,133.74,40.65,65.63
15/10/2018,236.61,26.07,29.21,49.01,44.89,44.92,34.25,69.61,15.9,16.69,67.81,20.9,21.67,59.29,14.32,56.02,38.82,132.91,40.34,64.75
16/10/2018,236.43,26.25,29.72,49.38,45.15,45.12,34.36,69.49,15.92,16.69,67.81,20.94,21.72,59.58,14.32,56.75,38.96,135.06,40.53,64.94
18/10/2018,235.9,26.26,29.35,49.06,44.89,44.89,34.21,69.43,15.86,16.69,67.81,20.9,21.69,59.56,14.32,56.67,39.16,133.38,40.16,63.6
19/10/2018,236.25,26.23,29.26,48.98,44.84,44.86,34.2,69.43,15.87,16.69,67.81,21.02,21.58,59.52,14.3,56.69,39.13,132.34,40.18,64.27
22/10/2018,242.68,26.39,29.18,49.28,45.05,44.98,34.23,69.43,15.84,16.69,67.81,21.49,21.8,59.21,14.3,56.27,38.76,131.24,40.79,65.83
23/10/2018,235.53,25.87,28.89,48.43,44.46,44.59,34.08,69.48,15.87,16.69,67.81,20.86,21.34,58.56,14.29,55.59,37.97,128.56,39.82,64.04
24/10/2018,234.13,25.78,28.28,47.94,44.1,44.32,33.94,69.54,15.86,16.69,67.81,20.82,21.37,58.6,14.29,56,38.28,128.6,39.59,63.34
25/10/2018,231.68,25.3,28.48,47.66,43.9,44.17,33.87,69.6,15.84,16.69,67.81,20.62,20.85,58.01,14.29,55.28,37.7,127.75,38.98,63.12
26/10/2018,228.88,25.07,28.18,47.27,43.64,44.01,33.82,69.65,15.88,16.71,67.81,20.34,20.76,57.77,14.29,54.99,37.4,126.93,38.61,62.65
29/10/2018,228.52,25.08,28.05,47.14,43.55,43.94,33.78,69.7,15.87,16.71,67.81,20.46,20.93,58.1,14.29,55.49,37.98,129.25,38.59,61.72
30/10/2018,226.6,25.13,28.36,47.24,43.6,43.95,33.76,69.59,15.83,16.71,67.81,20.3,20.79,57.74,14.29,54.53,37.36,127.66,38.52,61.58
31/10/2018,230.43,25.58,28.77,47.94,44.07,44.26,33.88,69.59,15.79,16.71,67.81,20.49,21.17,58.5,14.28,55.77,38.29,130.41,39.48,62.86
1/11/2018,234.96,25.91,28.97,48.42,44.45,44.57,34.06,69.64,15.85,16.71,67.81,20.85,21.17,,,,,,,
