date,FIDELITY HONG KONG EQUITY FUND (Class O),FIDELITY ASIA PACIFIC EQUITY FUND (Class O),FIDELITY GLOBAL EQUITY FUND (Class O),FIDELITY GROWTH FUND (Class O),FIDELITY BALANCED FUND (Class O),FIDELITY STABLE GROWTH FUND (Class O),FIDELITY CAPITAL STABLE FUND (Class O),FIDELITY HONG KONG BOND FUND (Class O),FIDELITY WORLD BOND FUND (Class O),FIDELITY US DOLLAR MONEY FUND (Class O),FIDELITY HK DOLLAR MONEY FUND (Class O),FAP FUND - TRACKER FUND PORTFOLIO (Class O),FAP FUND - INVESCO ASIAN EQUITY FUND (Class O),BLACKROCK GLOBAL ALLOCATION FUND (CLASS D2),BLACKROCK FIXED INCOME GLOBAL OPPORTUNITIES FUND (CLASS D2),BLACKROCK GLOBAL LONG-HORIZON EQUITY FUND (CLASS D2),BLACKROCK US FLEXIBLE EQUITY FUND (CLASS D2),BLACKROCK EUROPEAN FUND (CLASS D2),BLACKROCK ASIAN DRAGON FUND (CLASS D2),ALLIANCEBERNSTEIN- CHINA OPPORTUNITY PORTFOLIO (CLASS S1)
03/07/2018,265.15,28.71,29.49,51.75,47,46.66,35.24,69.48,16.26,16.6,67.51,23.12,23.78,60.43,14.28,56.89,38.13,143.9,44.93,74.36
04/07/2018,261.81,28.68,29.46,51.49,46.81,46.52,35.18,69.82,16.26,16.6,67.51,22.85,23.7,60.34,14.29,56.57,37.91,143.17,44.75,
05/07/2018,261.11,28.61,29.62,51.51,46.84,46.57,35.22,69.82,16.29,16.6,67.51,22.88,23.62,60.46,14.29,56.75,38.04,144.34,44.38,72.9
06/07/2018,262.85,28.75,29.86,51.85,47.11,46.79,35.35,69.99,16.33,16.6,67.51,22.96,23.64,60.78,14.3,56.77,38.42,144.47,44.51,74.07
09/07/2018,268.27,29.19,30.12,52.48,47.55,47.1,35.49,69.93,16.33,16.6,67.51,23.4,23.97,61.18,14.31,57.46,38.89,145.99,45.15,75.34
10/07/2018,268.26,29.18,30.18,52.52,47.57,47.08,35.45,69.87,16.28,16.6,67.51,23.36,24.05,61.25,14.31,57.71,39.16,146.95,45.5,75.5
11/07/2018,264.58,28.9,29.95,51.99,47.19,46.81,35.33,69.93,16.28,16.61,67.51,23.04,23.78,60.99,14.3,57.37,38.97,145.32,44.91,74.34
12/07/2018,266.67,29.08,30.17,52.25,47.36,46.92,35.36,69.87,16.25,16.61,67.51,23.2,23.73,60.96,14.3,57.54,39.08,145.22,45.06,75.36
13/07/2018,267.54,29.25,30.29,52.51,47.55,47.05,35.43,69.92,16.26,16.61,67.57,23.24,23.92,61.1,14.31,57.86,39.22,145.21,45.38,75.61
16/07/2018,267.53,29.11,30.25,52.46,47.52,47.04,35.43,69.98,16.27,16.61,67.57,23.24,23.83,61.23,14.32,57.96,39.22,146.37,44.99,75.47
17/07/2018,264.54,28.99,30.3,52.28,47.38,46.94,35.38,69.92,16.25,16.61,67.57,23,23.78,61.22,14.31,57.56,39.2,146.05,44.98,75.06
18/07/2018,264.01,29.02,30.34,52.28,47.37,46.91,35.35,69.97,16.22,16.61,67.57,22.88,23.78,61.29,14.31,58.03,39.43,146.52,44.89,75.05
19/07/2018,262.61,28.91,30.24,52.12,47.24,46.81,35.29,69.97,16.21,16.61,67.57,22.8,23.72,61.21,14.31,57.92,39.34,145.45,44.55,74.26
20/07/2018,264,29.14,30.28,52.32,47.41,46.95,35.39,70.09,16.25,16.61,67.57,23,23.78,61.46,14.32,58.24,39.46,146.36,44.78,74.56
23/07/2018,263.11,29,30.3,52.2,47.3,46.84,35.3,70.02,16.2,16.61,67.57,23.03,23.86,61.42,14.32,58.2,39.45,146.52,44.85,74.34
24/07/2018,268,29.22,30.49,52.76,47.7,47.14,35.45,69.91,16.22,16.61,67.57,23.35,23.94,61.7,14.31,58.68,39.73,147.55,45.26,75.64
25/07/2018,270.79,29.4,30.69,53.07,47.92,47.29,35.51,69.96,16.2,16.61,67.57,23.59,24.16,61.73,14.31,58.68,39.54,146.77,45.73,76.77
26/07/2018,269.04,29.39,30.75,53.08,47.92,47.27,35.49,69.96,16.19,16.63,67.57,23.39,24.32,61.75,14.32,59.27,39.83,147.31,45.87,75.98
27/07/2018,269.56,29.47,30.63,53.09,47.92,47.27,35.49,69.96,16.18,16.63,67.57,23.39,24.35,61.89,14.32,59.4,39.85,147.36,46.18,75.54
30/07/2018,268.14,29.35,30.46,52.83,47.74,47.15,35.44,70.01,16.19,16.63,67.57,23.35,24.32,61.72,14.33,58.96,39.67,147.44,45.91,74.71
31/07/2018,266.39,29.33,30.48,52.64,47.6,47.06,35.4,70.01,16.19,16.63,67.57,23.27,24.19,61.59,14.33,58.98,39.63,147.38,45.89,74.22
01/08/2018,264.63,29.24,30.45,52.51,47.49,46.93,35.31,69.95,16.14,16.63,67.57,23.03,24.24,61.58,14.33,59,39.83,146.48,45.77,73.97
02/08/2018,258.86,28.78,30.39,51.94,47.06,46.6,35.13,69.89,16.1,16.63,67.57,22.56,23.81,61.28,14.32,58.46,39.5,144.48,44.91,72.5
03/08/2018,257.28,28.8,30.49,51.95,47.08,46.63,35.17,70.01,16.12,16.63,67.57,22.52,23.86,61.54,14.32,58.7,39.89,144.79,45.01,71.72
06/08/2018,256.92,28.78,30.48,51.83,46.99,46.57,35.13,70.17,16.11,16.63,67.63,22.68,23.86,61.6,14.33,58.7,40.02,144.13,44.9,71.63
07/08/2018,261.11,29.01,30.65,52.32,47.35,46.83,35.26,70.23,16.12,16.63,67.63,22.99,24.02,61.91,14.34,59.15,40.3,145.54,45.36,73.01
08/08/2018,261.62,29.16,30.68,52.43,47.42,46.88,35.28,70.11,16.12,16.63,67.63,23.07,24.13,61.76,14.33,59.1,40.21,144.68,45.47,72.91
09/08/2018,264.59,29.2,30.67,52.59,47.54,46.96,35.32,70.17,16.12,16.63,67.63,23.27,24.16,61.85,14.33,59.26,40.37,145.12,45.59,73.17
10/08/2018,262.84,29.04,30.36,52.09,47.16,46.65,35.14,70.23,16.06,16.63,67.63,23.03,23.86,61.4,14.34,58.7,40.09,142.16,45.09,72.89
13/08/2018,259.15,28.58,30.16,51.56,46.77,46.36,34.99,70.34,16.04,16.64,67.63,22.75,23.46,61.17,14.33,58.54,40.12,142.3,44.25,71.87
14/08/2018,256.52,28.42,30.3,51.5,46.71,46.3,34.95,70.28,16.01,16.64,67.63,22.63,23.38,61.15,14.32,58.27,40.01,141.24,44,71.22
15/08/2018,251.27,28.23,29.99,50.86,46.24,45.95,34.77,70.16,15.98,16.64,67.63,22.24,23.14,,,,,,,
16/08/2018,249.52,28.05,30.16,50.85,46.26,45.99,34.81,70.1,16.02,16.64,67.63,22.16,22.84,60.93,14.32,58.28,40.16,139.88,43.13,69.64
17/08/2018,249.69,28.14,30.27,50.99,46.37,46.09,34.88,70.27,16.05,16.64,67.63,22.2,22.97,60.97,14.33,58.48,40.25,140.11,43.23,69.67
20/08/2018,252.82,28.4,30.37,51.32,46.62,46.29,34.99,70.04,16.09,16.64,67.63,22.51,23.24,61.18,14.33,58.7,40.46,141.71,43.97,70.52
21/08/2018,255.79,28.61,30.44,51.6,46.84,46.48,35.1,70.09,16.13,16.64,67.63,22.63,23.43,61.37,14.34,59.09,40.62,143.05,44.52,71.43
22/08/2018,257.01,28.71,30.53,51.85,47.04,46.65,35.21,70.09,16.18,16.64,67.63,22.75,23.57,61.5,14.35,58.91,40.56,143.62,44.54,71.62
23/08/2018,255.95,28.64,30.47,51.68,46.9,46.53,35.13,70.15,16.14,16.64,67.63,22.59,23.54,61.39,14.35,58.99,40.52,143.46,44.71,71.14
24/08/2018,255.07,28.64,30.63,51.78,46.99,46.61,35.19,70.09,16.17,16.64,67.63,22.55,23.46,61.35,14.35,58.86,40.53,143.94,44.51,71.09
27/08/2018,260.65,29.06,30.9,52.46,47.47,46.96,35.36,70.14,16.18,16.65,67.63,23.07,23.7,61.76,14.36,59.37,40.88,145.35,45.27,73
28/08/2018,261.52,29.27,30.94,52.6,47.58,47.03,35.39,70.08,16.18,16.65,67.63,23.15,23.84,61.98,14.36,59.73,40.98,146.64,45.38,72.93
29/08/2018,261.69,29.31,31.06,52.7,47.63,47.06,35.38,70.03,16.16,16.65,67.69,23.18,23.98,61.87,14.35,59.62,41.01,146.24,45.51,72.76
30/08/2018,259.41,29.15,30.95,52.46,47.46,46.94,35.34,69.97,16.17,16.65,67.69,22.99,23.95,61.82,14.35,59.51,41.11,145.8,45.36,71.68
31/08/2018,256.96,28.91,30.9,52.21,47.28,46.81,35.28,70.02,16.16,16.65,67.69,22.75,23.79,61.66,14.35,59.39,41.03,144.66,45.09,71.33
03/09/2018,255.37,28.76,30.85,52,47.13,46.7,35.22,70.02,16.15,16.65,67.69,22.67,23.73,61.58,14.35,59.29,41.06,143.84,44.79,
04/09/2018,257.63,28.69,30.73,51.98,47.08,46.61,35.13,69.96,16.07,16.65,67.69,22.9,23.83,61.29,14.35,58.89,40.9,142.17,44.62,70.58
05/09/2018,251.51,28.22,30.54,51.36,46.66,46.34,35.03,69.96,16.11,16.65,67.69,22.27,,61.12,14.34,58.61,40.88,141.74,43.78,69.06
06/09/2018,249.06,27.95,30.43,51.06,46.47,46.23,35.01,70.01,16.15,16.65,67.69,22.15,,61.14,14.34,58.73,40.92,141.55,43.46,68.29
07/09/2018,248.88,27.9,30.34,50.92,46.33,46.08,34.9,70.01,16.08,16.65,67.69,22.07,,60.83,14.33,58.59,40.64,139.92,43.56,68.33
10/09/2018,245.37,27.65,30.37,50.74,46.21,46,34.87,69.78,16.1,16.65,67.69,21.87,22.93,60.86,14.32,58.69,40.73,140.88,42.99,67.31
11/09/2018,243.44,27.47,30.43,50.63,46.11,45.91,34.8,69.78,16.05,16.67,67.69,21.67,22.68,60.67,14.32,58.43,40.58,140.38,42.67,66.79
12/09/2018,242.73,27.47,30.48,50.67,46.16,45.97,34.85,69.72,16.1,16.67,67.69,21.67,22.71,60.75,14.32,58.53,40.73,141.71,42.42,66.89
13/09/2018,248.85,27.74,30.65,51.2,46.55,46.27,35.01,69.72,16.12,16.67,67.69,22.15,22.96,61.06,14.32,58.99,40.86,143.53,43.21,68.55
14/09/2018,251.29,28.09,30.72,51.52,46.75,46.38,35.03,69.66,16.08,16.67,67.69,22.34,23.36,61.16,14.33,59.28,40.9,143.35,44.08,68.38
17/09/2018,248.3,27.72,30.61,51.24,46.57,46.27,35,69.65,16.11,16.67,67.69,22.07,23.06,61.07,14.33,59.14,40.89,143.43,43.5,68.02
