date,FIDELITY HONG KONG EQUITY FUND (Class O),FIDELITY ASIA PACIFIC EQUITY FUND (Class O),FIDELITY GLOBAL EQUITY FUND (Class O),FIDELITY GROWTH FUND (Class O),FIDELITY BALANCED FUND (Class O),FIDELITY STABLE GROWTH FUND (Class O),FIDELITY CAPITAL STABLE FUND (Class O),FIDELITY HONG KONG BOND FUND (Class O),FIDELITY WORLD BOND FUND (Class O),FIDELITY US DOLLAR MONEY FUND (Class O),FIDELITY HK DOLLAR MONEY FUND (Class O),FAP FUND - TRACKER FUND PORTFOLIO (Class O),FAP FUND - INVESCO ASIAN EQUITY FUND (Class O),BLACKROCK GLOBAL ALLOCATION FUND (CLASS D2),BLACKROCK FIXED INCOME GLOBAL OPPORTUNITIES FUND (CLASS D2),BLACKROCK GLOBAL LONG-HORIZON EQUITY FUND (CLASS D2),BLACKROCK US FLEXIBLE EQUITY FUND (CLASS D2),BLACKROCK EUROPEAN FUND (CLASS D2),BLACKROCK ASIAN DRAGON FUND (CLASS D2),ALLIANCEBERNSTEIN- CHINA OPPORTUNITY PORTFOLIO (CLASS S1)
03/10/2016,204.12,23.44,24.77,42.75,40.44,41.87,32.99,71.08,16.34,16.35,66.91,18.37,19.5,54.21,13.62,44.6,27.84,123.95,37.84,54.19
04/10/2016,205.01,23.47,24.74,42.79,40.41,41.78,32.89,71.02,16.23,16.35,66.91,18.44,19.56,54.26,13.63,44.72,27.97,124.45,38,54.4
05/10/2016,205.71,23.4,24.77,42.82,40.42,41.77,32.86,70.96,16.2,16.35,66.91,18.52,19.59,54.19,13.63,44.61,27.97,123.56,37.96,54.65
06/10/2016,206.95,23.45,24.75,42.86,40.44,41.76,32.83,70.9,16.15,16.35,66.91,18.67,19.64,54.13,13.64,44.48,27.89,122.98,38.12,54.94
07/10/2016,206.06,23.34,24.65,42.71,40.31,41.65,32.77,70.9,16.14,16.35,66.91,18.59,19.56,54.09,13.63,44.37,27.93,121.51,37.97,54.72
11/10/2016,203.56,23.13,24.52,42.38,40.02,41.36,32.56,70.77,16.02,16.35,66.91,18.33,19.34,54.01,13.65,44.34,27.96,120.84,37.55,54.35
12/10/2016,202.13,23.1,24.43,42.13,39.8,41.16,32.42,70.71,15.95,16.35,66.91,18.25,19.2,53.72,13.64,43.99,27.76,119.69,37.24,53.86
13/10/2016,199.11,22.76,24.33,41.83,39.6,41.03,32.38,70.83,16,16.35,66.91,17.99,19.01,53.42,13.62,43.38,27.4,118.1,36.75,53.23
14/10/2016,200.53,22.88,24.41,42,39.71,41.09,32.39,70.83,15.95,16.35,66.91,18.14,19.1,53.79,13.64,44.03,27.82,120.27,37.12,53.53
17/10/2016,199.1,22.77,24.3,41.81,39.57,40.97,32.33,70.77,15.95,16.35,66.91,17.99,19.01,53.59,13.65,43.68,27.6,119.46,36.96,53.36
