date,FIDELITY HONG KONG EQUITY FUND (Class O),FIDELITY ASIA PACIFIC EQUITY FUND (Class O),FIDELITY GLOBAL EQUITY FUND (Class O),FIDELITY GROWTH FUND (Class O),FIDELITY BALANCED FUND (Class O),FIDELITY STABLE GROWTH FUND (Class O),FIDELITY CAPITAL STABLE FUND (Class O),FIDELITY HONG KONG BOND FUND (Class O),FIDELITY WORLD BOND FUND (Class O),FIDELITY US DOLLAR MONEY FUND (Class O),FIDELITY HK DOLLAR MONEY FUND (Class O),FAP FUND - TRACKER FUND PORTFOLIO (Class O),FAP FUND - INVESCO ASIAN EQUITY FUND (Class O),BLACKROCK GLOBAL ALLOCATION FUND (CLASS D2),BLACKROCK FIXED INCOME GLOBAL OPPORTUNITIES FUND (CLASS D2),BLACKROCK GLOBAL LONG-HORIZON EQUITY FUND (CLASS D2),BLACKROCK US FLEXIBLE EQUITY FUND (CLASS D2),BLACKROCK EUROPEAN FUND (CLASS D2),BLACKROCK ASIAN DRAGON FUND (CLASS D2),ALLIANCEBERNSTEIN- CHINA OPPORTUNITY PORTFOLIO (CLASS S1)
2/1/2020,279.3,31.25,34.64,57.21,51.48,50.62,37.77,75.08,17.13,17.1,69.07,23.96,25.49,66.95,15.34,72.19,44.27,159.75,50.47,82.51
3/1/2020,278.08,31.17,34.43,57.01,51.36,50.56,37.77,75.25,17.17,17.1,69.13,23.92,25.57,66.9,15.34,71.83,44.11,158.57,50.37,81.95
6/1/2020,276.16,30.88,34.42,56.75,51.18,50.43,37.71,75.3,17.16,17.1,69.13,23.76,25.3,66.74,15.37,71.42,43.87,157.38,49.81,81.54
7/1/2020,277.71,31.09,34.5,57.05,51.38,50.55,37.75,75.41,17.13,17.11,69.13,23.76,25.41,66.8,15.34,71.7,43.97,157.64,50.12,82.09
8/1/2020,275.63,30.92,34.51,56.79,51.16,50.35,37.62,75.47,17.07,17.11,69.13,23.59,25.3,66.89,15.35,71.95,44.04,157.98,50.01,81.37
9/1/2020,280.3,31.41,34.71,57.33,51.51,50.56,37.68,75.41,17.01,17.11,69.13,24.05,25.68,67.14,15.36,72.32,44.39,158.86,51.1,82.99
10/1/2020,280.46,31.64,34.73,57.49,51.66,50.72,37.8,75.47,17.07,17.11,69.13,24.05,25.84,67.32,15.38,72.37,44.44,159.15,51.33,83.18
13/01/2020,283.39,31.86,34.94,57.79,51.87,50.85,37.85,75.57,17.05,17.11,69.13,24.34,25.98,67.21,15.39,72.21,44.34,159.24,51.8,84.28
14/01/2020,282.86,31.87,34.92,57.77,51.86,50.86,37.86,75.57,17.07,17.11,69.13,24.26,26.08,67.31,15.39,72.13,44.55,159.97,51.69,83.97
15/01/2020,282.51,31.72,34.89,57.65,51.79,50.83,37.87,75.69,17.1,17.11,69.13,24.17,25.92,67.54,15.4,72.44,44.73,161.74,51.69,83.48
16/01/2020,283.72,31.84,35.14,57.88,51.96,50.96,37.94,75.68,17.11,17.11,69.13,24.21,25.95,67.65,15.4,72.74,44.85,161.75,51.83,84.04
17/01/2020,285.1,31.93,35.27,58.08,52.09,51.02,37.94,75.68,17.07,17.11,69.13,24.38,26.06,67.89,15.42,73.27,45.04,163.16,52.05,84.61
20/01/2020,283.01,31.88,35.28,57.99,52.02,50.97,37.91,75.68,17.07,17.11,69.13,24.17,26.03,67.9,15.43,73.29,45.1,162.76,51.83,
