date,FIDELITY HONG KONG EQUITY FUND (Class O),FIDELITY ASIA PACIFIC EQUITY FUND (Class O),FIDELITY GLOBAL EQUITY FUND (Class O),FIDELITY GROWTH FUND (Class O),FIDELITY BALANCED FUND (Class O),FIDELITY STABLE GROWTH FUND (Class O),FIDELITY CAPITAL STABLE FUND (Class O),FIDELITY HONG KONG BOND FUND (Class O),FIDELITY WORLD BOND FUND (Class O),FIDELITY US DOLLAR MONEY FUND (Class O),FIDELITY HK DOLLAR MONEY FUND (Class O),FAP FUND - TRACKER FUND PORTFOLIO (Class O),FAP FUND - INVESCO ASIAN EQUITY FUND (Class O),BLACKROCK GLOBAL ALLOCATION FUND (CLASS D2),BLACKROCK FIXED INCOME GLOBAL OPPORTUNITIES FUND (CLASS D2),BLACKROCK GLOBAL LONG-HORIZON EQUITY FUND (CLASS D2),BLACKROCK US FLEXIBLE EQUITY FUND (CLASS D2),BLACKROCK EUROPEAN FUND (CLASS D2),BLACKROCK ASIAN DRAGON FUND (CLASS D2),ALLIANCEBERNSTEIN- CHINA OPPORTUNITY PORTFOLIO (CLASS S1)
03/04/2017,212.19,24.61,26.39,44.63,41.41,42.01,32.51,69.52,15.42,16.39,67.03,18.94,20.62,56.59,13.9,47.98,31.74,129.15,40.07,58.08
05/04/2017,213.6,24.63,26.35,44.69,41.46,42.05,32.53,69.7,15.42,16.39,67.03,19.05,20.67,56.63,13.91,47.9,31.85,129.32,40.31,58.46
06/04/2017,212.71,24.45,26.36,44.56,41.37,41.99,32.51,69.75,15.44,16.39,67.03,18.98,20.56,56.43,13.9,47.61,31.58,128.98,40.14,58.16
07/04/2017,212.88,24.4,26.34,44.56,41.36,41.96,32.48,69.81,15.41,16.39,67.03,18.98,20.48,56.42,13.89,47.56,31.53,128.82,40.19,58.27
10/04/2017,212.69,24.38,26.35,44.55,41.35,41.96,32.48,69.69,15.41,16.39,67.03,18.98,20.46,56.48,13.9,47.64,31.71,128.75,40.19,58.18
11/04/2017,211.62,24.3,26.35,44.51,41.35,42,32.54,69.86,15.47,16.39,67.03,18.86,20.37,56.48,13.89,47.52,31.48,129.24,39.92,57.71
12/04/2017,213.39,24.37,26.27,44.55,41.39,42.04,32.57,70.03,15.49,16.39,67.03,19.02,20.43,56.51,13.9,47.58,31.51,129.4,40.12,57.9
13/04/2017,213.03,24.48,26.17,44.46,41.34,42.02,32.57,70.21,15.51,16.39,67.03,18.98,20.51,56.46,13.88,47.56,31.41,129.09,40.17,58.06
18/04/2017,210.18,24.24,26.17,44.23,41.21,41.99,32.62,70.14,15.62,16.39,67.09,18.67,20.32,56.51,13.89,47.81,31.43,128.92,39.79,57.36
19/04/2017,209.47,24.18,26.18,44.2,41.18,41.96,32.6,70.25,15.6,16.39,67.09,18.67,20.26,56.49,13.91,48.04,31.55,129.43,39.72,57.21
