date,FIDELITY HONG KONG EQUITY FUND (Class O),FIDELITY ASIA PACIFIC EQUITY FUND (Class O),FIDELITY GLOBAL EQUITY FUND (Class O),FIDELITY GROWTH FUND (Class O),FIDELITY BALANCED FUND (Class O),FIDELITY STABLE GROWTH FUND (Class O),FIDELITY CAPITAL STABLE FUND (Class O),FIDELITY HONG KONG BOND FUND (Class O),FIDELITY WORLD BOND FUND (Class O),FIDELITY US DOLLAR MONEY FUND (Class O),FIDELITY HK DOLLAR MONEY FUND (Class O),FAP FUND - TRACKER FUND PORTFOLIO (Class O),FAP FUND - INVESCO ASIAN EQUITY FUND (Class O),BLACKROCK GLOBAL ALLOCATION FUND (CLASS D2),BLACKROCK FIXED INCOME GLOBAL OPPORTUNITIES FUND (CLASS D2),BLACKROCK GLOBAL LONG-HORIZON EQUITY FUND (CLASS D2),BLACKROCK US FLEXIBLE EQUITY FUND (CLASS D2),BLACKROCK EUROPEAN FUND (CLASS D2),BLACKROCK ASIAN DRAGON FUND (CLASS D2),ALLIANCEBERNSTEIN- CHINA OPPORTUNITY PORTFOLIO (CLASS S1)
03/04/2018,276.36,29.67,29.3,52.8,47.95,47.63,35.96,69.96,16.7,16.53,67.33,24.18,25.18,60.65,14.4,55.2,36.01,146.55,49.2,75.31
04/04/2018,271.79,29.3,29.38,52.46,47.71,47.46,35.87,69.96,16.7,16.53,67.33,23.54,24.84,60.6,14.39,54.9,36.04,145.51,48.16,74.62
06/04/2018,275.11,29.59,29.29,52.76,47.9,47.58,35.91,69.96,16.67,16.53,67.33,23.82,25.08,61.17,14.39,56.19,36.98,148.97,48.8,75.03
09/04/2018,277.9,29.78,29.4,53.04,48.13,47.76,36.02,70.07,16.71,16.53,67.39,24.21,25.08,61.1,14.4,55.91,36.67,149.18,49.03,75.73
10/04/2018,282.11,30.12,29.79,53.67,48.58,48.09,36.18,70.01,16.71,16.53,67.39,24.57,25.29,61.35,14.41,56.2,36.81,150.77,49.61,77.43
11/04/2018,283.33,30.15,29.7,53.7,48.63,48.16,36.24,70.12,16.76,16.53,67.39,24.73,25.51,61.49,14.39,56.26,36.88,150.43,49.79,77.31
12/04/2018,282.63,30.1,29.85,53.68,48.58,48.07,36.15,70.12,16.68,16.53,67.39,24.69,25.43,61.48,14.4,56.46,37.14,150.04,49.77,76.87
13/04/2018,281.92,30.11,29.8,53.66,48.57,48.07,36.16,70,16.69,16.53,67.39,24.65,25.45,61.57,14.39,56.45,37.16,150.81,49.77,76.59
16/04/2018,277.86,30.02,29.94,53.52,48.46,48,36.13,69.88,16.71,16.53,67.39,24.21,25.24,61.53,14.4,56.48,37.14,150.79,49.44,75.74
17/04/2018,275.05,29.83,30.13,53.44,48.41,47.97,36.13,69.77,16.72,16.53,67.39,24.01,25.21,61.76,14.38,56.86,37.56,151.78,49.26,75.42
18/04/2018,276.62,30.02,30.25,53.76,48.64,48.13,36.19,69.65,16.71,16.55,67.39,24.25,25.56,62.07,14.41,56.99,37.72,152.26,49.67,76.07
19/04/2018,280.13,30.28,30.2,53.95,48.73,48.14,36.15,69.59,16.63,16.55,67.39,24.61,25.85,61.98,14.41,56.86,37.51,152.43,50.3,77.03
20/04/2018,278.02,29.94,29.96,53.55,48.41,47.85,35.96,69.47,16.55,16.55,67.39,24.29,25.54,61.63,14.39,56.38,37.41,151.01,49.5,75.93
23/04/2018,276.25,29.73,29.92,53.35,48.23,47.67,35.83,69.3,16.48,16.55,67.39,24.17,25.35,61.32,14.38,56.05,37.21,150.55,49.2,75.23
24/04/2018,280.27,29.88,29.74,53.55,48.37,47.77,35.88,69.35,16.47,16.55,67.39,24.48,25.3,61.38,14.37,56.14,37.31,150.72,49.23,76.13
25/04/2018,278.16,29.6,29.64,53.19,48.09,47.52,35.72,69.29,16.41,16.55,67.39,24.25,25.11,60.72,14.36,55.36,36.71,148.43,48.39,75.45
26/04/2018,275,29.48,29.74,53.11,48.03,47.49,35.71,69.23,16.42,16.55,67.39,24.01,25.03,61.11,14.34,55.95,37.13,149.94,48.33,75
27/04/2018,277.45,29.82,29.82,53.38,48.24,47.66,35.81,69.35,16.45,16.55,67.39,24.17,25.3,61.1,14.34,56.05,37.23,149.31,48.83,75.81
30/04/2018,281.81,30.14,29.72,53.62,48.4,47.77,35.85,69.4,16.43,16.55,67.39,24.69,25.68,61.15,14.35,56.32,37.35,149.21,49.48,76.48
02/05/2018,280.57,30.09,29.56,53.36,48.16,47.52,35.66,69.34,16.32,16.55,67.39,24.53,25.57,60.85,14.33,55.86,36.98,149.31,49.09,76.51
03/05/2018,277.59,29.95,29.45,53.1,47.99,47.42,35.65,69.34,16.36,16.55,67.39,24.21,25.33,60.78,14.33,55.5,36.73,148.98,48.56,76.09
04/05/2018,274.78,29.77,29.65,53.03,47.94,47.37,35.61,69.34,16.35,16.55,67.39,23.94,25.14,60.72,14.32,55.6,36.76,148.57,48.3,75.96
07/05/2018,276.34,29.87,29.75,53.22,48.07,47.47,35.66,69.33,16.34,16.56,67.39,24.01,25.14,61.16,14.32,56.35,37.3,149.6,48.62,77.13
08/05/2018,280.19,30.01,29.75,53.44,48.2,47.52,35.64,69.39,16.28,16.56,67.39,24.37,25.43,60.9,14.32,56.07,37.08,148.93,48.78,77.62
09/05/2018,281.58,30.01,29.93,53.61,48.32,47.59,35.67,69.27,16.26,16.56,67.39,24.45,25.38,60.98,14.29,56.26,37.23,150.62,48.94,77.86
10/05/2018,284.38,30.27,30.13,53.99,48.61,47.83,35.8,69.33,16.3,16.56,67.39,24.64,25.57,,,,,,,
11/05/2018,286.3,30.49,30.3,54.4,48.92,48.09,35.95,69.44,16.34,16.56,67.39,24.88,25.79,61.74,14.32,57.16,37.91,151.55,49.4,78.94
14/05/2018,290.84,30.66,30.38,54.75,49.17,48.25,36.02,69.38,16.33,16.56,67.39,25.24,25.9,61.81,14.33,57.28,38.17,151.6,49.97,79.86
15/05/2018,288.38,30.25,30.16,54.31,48.78,47.88,35.76,69.32,16.19,16.56,67.45,25,25.68,61.21,14.33,56.58,37.7,149.49,49.23,79.79
16/05/2018,288.02,30.27,30.2,54.29,48.75,47.83,35.71,69.15,16.15,16.56,67.45,24.92,25.6,61.31,14.32,56.75,37.87,150,49.37,79.72
17/05/2018,286.44,30.22,30.27,54.29,48.73,47.79,35.68,68.97,16.12,16.56,67.45,24.84,25.46,61.3,14.32,56.88,37.89,150.46,48.9,79.52
18/05/2018,287.66,30.18,30.19,54.31,48.76,47.83,35.71,68.97,16.15,16.56,67.45,24.92,25.44,61.2,14.31,56.74,37.88,150.43,49.05,79.82
21/05/2018,288.87,30.23,30.33,54.47,48.87,47.9,35.74,69.08,16.13,16.56,67.45,25.11,25.38,,,,,,,
23/05/2018,285.18,29.99,30.18,54.06,48.59,47.71,35.66,69.19,16.15,16.57,67.45,24.64,25.19,61.16,14.31,56.72,37.89,148.91,48.55,78.7
24/05/2018,285.7,30.1,30.11,54.03,48.59,47.76,35.72,69.37,16.21,16.57,67.45,24.72,25.27,61.18,14.31,57,37.85,148.7,48.86,79.17
25/05/2018,284.64,30.17,30.05,53.9,48.51,47.7,35.7,69.36,16.21,16.57,67.45,24.68,25.27,61.12,14.32,57.13,37.97,147.65,49.03,79
28/05/2018,286.9,30.23,30.03,54,48.57,47.74,35.7,69.47,16.2,16.57,67.45,24.8,25.44,61.1,14.33,57.19,37.98,147.01,49.33,
29/05/2018,283.57,29.96,29.67,53.43,48.18,47.47,35.6,69.65,16.22,16.57,67.45,24.56,25.19,60.87,14.32,56.64,37.74,144.85,48.98,78.45
30/05/2018,279.88,29.65,29.87,53.24,48.04,47.37,35.54,69.82,16.21,16.57,67.45,24.16,24.78,60.77,14.33,56.53,37.68,145.27,48.28,77.84
31/05/2018,285.66,30.01,29.79,53.65,48.36,47.63,35.69,69.76,16.26,16.57,67.45,24.6,25.03,60.93,14.32,57.13,37.82,146.11,48.81,78.85
01/06/2018,284.78,30.07,30.04,53.77,48.42,47.65,35.68,69.64,16.22,16.57,67.45,24.6,25.16,60.98,14.32,57.24,37.99,147.17,48.96,79.33
04/06/2018,289.84,30.46,30.23,54.33,48.83,47.94,35.82,69.52,16.23,16.57,67.45,24.95,25.16,61.33,14.31,57.77,38.34,148.28,49.69,80.85
05/06/2018,291.23,30.53,30.24,54.4,48.87,47.97,35.82,69.46,16.22,16.57,67.45,25.03,25.68,61.29,14.31,57.85,38.28,148.12,49.83,81.18
06/06/2018,292.63,30.76,30.45,54.67,49.06,48.09,35.87,69.46,16.2,16.57,67.45,25.19,25.79,61.31,14.31,57.83,38.37,148.32,49.96,81.72
07/06/2018,294.72,30.87,30.47,54.87,49.21,48.22,35.94,69.29,16.23,16.57,67.45,25.39,25.98,61.54,14.31,58.07,38.81,148.88,50.43,81.34
08/06/2018,289.81,30.52,30.44,54.46,48.9,47.97,35.81,69.34,16.19,16.57,67.45,24.91,25.6,61.38,14.31,57.8,38.66,147.82,49.55,80.71
11/06/2018,290.32,30.51,30.51,54.59,49,48.06,35.86,69.34,16.22,16.59,67.45,25.07,25.71,61.55,14.32,57.97,38.87,148.84,49.82,81.16
12/06/2018,292.07,30.6,30.52,54.67,49.06,48.09,35.87,69.28,16.2,16.59,67.45,25.11,25.71,61.59,14.31,57.99,38.87,148.64,49.9,81.79
13/06/2018,288.73,30.4,30.45,54.42,48.87,47.95,35.8,69.22,16.2,16.59,67.45,24.79,25.65,61.59,14.31,58.25,38.9,149.08,49.37,81.09
14/06/2018,286.1,30.12,30.43,54.16,48.67,47.79,35.71,69.28,16.17,16.59,67.45,24.59,25.33,61.56,14.31,58.15,38.81,149.07,48.81,80.75
15/06/2018,283.99,29.94,30.31,53.84,48.45,47.62,35.63,69.33,16.17,16.59,67.45,24.43,25.16,61.34,14.31,57.95,38.62,147.62,48.5,80.58
19/06/2018,275.56,29.35,29.96,52.81,47.71,47.1,35.39,69.44,16.17,16.59,67.51,23.84,24.54,60.78,14.3,57.15,38.26,143.88,47.13,78.55
20/06/2018,278.01,29.6,30.05,53.09,47.9,47.22,35.42,69.38,16.14,16.59,67.51,24.04,24.57,61.11,14.3,57.74,38.53,144.65,47.45,78.75
21/06/2018,274.5,29.44,29.87,52.78,47.69,47.1,35.4,69.21,16.19,16.59,67.51,23.64,24.38,60.97,14.3,57.66,38.48,144.37,47,78.35
22/06/2018,275.02,29.53,30.02,53.01,47.86,47.23,35.47,69.27,16.2,16.59,67.51,23.72,24.48,61.09,14.29,57.6,38.46,145.77,46.89,78.53
25/06/2018,270.97,29.13,29.59,52.3,47.37,46.9,35.33,69.43,16.22,16.6,67.51,23.44,24.32,60.71,14.29,57.05,38.04,144.29,46.18,76.49
26/06/2018,269.91,29.09,29.61,52.21,47.3,46.84,35.29,69.49,16.21,16.6,67.51,23.36,24.13,60.54,14.29,56.86,37.98,143.57,45.88,76
27/06/2018,264.48,28.83,29.43,51.75,46.96,46.58,35.16,69.49,16.19,16.6,67.51,22.92,23.91,60.67,14.29,56.93,38.16,144.13,45.07,74.21
28/06/2018,265,28.58,29.46,51.7,46.92,46.55,35.14,69.6,16.18,16.6,67.51,23.04,23.62,60.17,14.29,56.24,37.61,141.74,44.91,73.8
29/06/2018,270.25,29.07,29.59,52.23,47.33,46.87,35.32,69.54,16.23,16.6,67.51,23.39,24,60.58,14.29,56.9,38.1,144.64,45.91,75.52
