date,FIDELITY HONG KONG EQUITY FUND (Class O),FIDELITY ASIA PACIFIC EQUITY FUND (Class O),FIDELITY GLOBAL EQUITY FUND (Class O),FIDELITY GROWTH FUND (Class O),FIDELITY BALANCED FUND (Class O),FIDELITY STABLE GROWTH FUND (Class O),FIDELITY CAPITAL STABLE FUND (Class O),FIDELITY HONG KONG BOND FUND (Class O),FIDELITY WORLD BOND FUND (Class O),FIDELITY US DOLLAR MONEY FUND (Class O),FIDELITY HK DOLLAR MONEY FUND (Class O),FAP FUND - TRACKER FUND PORTFOLIO (Class O),FAP FUND - INVESCO ASIAN EQUITY FUND (Class O),BLACKROCK GLOBAL ALLOCATION FUND (CLASS D2),BLACKROCK FIXED INCOME GLOBAL OPPORTUNITIES FUND (CLASS D2),BLACKROCK GLOBAL LONG-HORIZON EQUITY FUND (CLASS D2),BLACKROCK US FLEXIBLE EQUITY FUND (CLASS D2),BLACKROCK EUROPEAN FUND (CLASS D2),BLACKROCK ASIAN DRAGON FUND (CLASS D2),ALLIANCEBERNSTEIN- CHINA OPPORTUNITY PORTFOLIO (CLASS S1)
01/04/2016,176.06,20.74,23.7,39.31,37.68,39.54,31.62,69.73,15.94,16.32,66.85,15.63,16.68,51.37,13.22,40.86,26.65,124.61,32.65,48.08
05/04/2016,173.74,20.43,23.32,38.77,37.3,39.28,31.52,69.84,15.99,16.33,66.85,15.36,16.49,51.2,13.22,40.74,26.57,123.63,32.29,47.27
06/04/2016,174.09,20.52,23.53,38.98,37.45,39.38,31.56,69.78,15.98,16.33,66.85,15.44,16.46,51.23,13.22,40.82,26.57,124.08,32.37,47.94
07/04/2016,174.8,20.54,23.39,39.02,37.5,39.45,31.63,69.72,16.03,16.33,66.85,15.48,16.54,51.49,13.23,41.03,26.69,124.14,32.38,47.31
08/04/2016,175.33,20.55,23.52,39.21,37.65,39.57,31.69,69.71,16.05,16.33,66.85,15.55,16.49,51.65,13.23,41.18,26.66,125.17,32.52,47.54
11/04/2016,176.21,20.6,23.5,39.28,37.72,39.64,31.74,69.77,16.07,16.33,66.85,15.66,16.57,51.84,13.24,41.37,26.67,126.41,32.76,47.83
12/04/2016,176.74,20.68,23.67,39.46,37.81,39.66,31.7,69.65,15.98,16.33,66.85,15.66,16.59,51.74,13.25,41.19,26.5,125.22,32.89,48.39
13/04/2016,181.9,20.99,23.99,40.19,38.35,40.06,31.89,69.53,15.96,16.33,66.85,16.19,16.87,52.16,13.26,41.77,26.91,126.9,33.44,49.72
14/04/2016,183.32,21.13,24.08,40.46,38.53,40.17,31.92,69.59,15.92,16.33,66.85,16.34,16.97,52.39,13.26,41.95,26.98,126.58,33.5,49.75
15/04/2016,183.14,21.22,24.06,40.45,38.55,40.22,31.98,69.53,15.98,16.33,66.85,16.27,17.03,52.37,13.26,42.01,27.01,127.22,33.56,49.49
18/04/2016,181.7,21.19,24.11,40.27,38.42,40.13,31.94,69.7,15.99,16.33,66.85,16.15,16.97,52.23,13.27,41.92,26.99,127.27,33.47,49.5
19/04/2016,183.83,21.37,24.39,40.8,38.82,40.44,32.11,69.58,16,16.33,66.85,16.38,17.06,52.83,13.28,42.53,27.3,130.1,33.68,49.71
20/04/2016,181.69,21.29,24.36,40.63,38.68,40.32,32.03,69.58,15.97,16.33,66.85,16.19,16.95,52.85,13.29,42.48,27.3,129.17,33.41,49.39
21/04/2016,184.35,21.45,24.31,40.86,38.81,40.36,32,69.17,15.89,16.33,66.85,16.53,17.03,52.78,13.3,42.35,27.27,128.09,33.62,49.38
22/04/2016,182.93,21.23,24.21,40.59,38.58,40.14,31.85,69.28,15.81,16.33,66.85,16.41,16.97,52.75,13.3,42.24,27.2,127.92,33.42,49.24
25/04/2016,181.14,21.14,24.12,40.4,38.44,40.04,31.8,69.22,15.82,16.33,66.85,16.23,16.89,52.59,13.3,42.09,27.1,127.17,33.14,48.79
