date,FIDELITY HONG KONG EQUITY FUND (Class O),FIDELITY ASIA PACIFIC EQUITY FUND (Class O),FIDELITY GLOBAL EQUITY FUND (Class O),FIDELITY GROWTH FUND (Class O),FIDELITY BALANCED FUND (Class O),FIDELITY STABLE GROWTH FUND (Class O),FIDELITY CAPITAL STABLE FUND (Class O),FIDELITY HONG KONG BOND FUND (Class O),FIDELITY WORLD BOND FUND (Class O),FIDELITY US DOLLAR MONEY FUND (Class O),FIDELITY HK DOLLAR MONEY FUND (Class O),FAP FUND - TRACKER FUND PORTFOLIO (Class O),FAP FUND - INVESCO ASIAN EQUITY FUND (Class O),BLACKROCK GLOBAL ALLOCATION FUND (CLASS D2),BLACKROCK FIXED INCOME GLOBAL OPPORTUNITIES FUND (CLASS D2),BLACKROCK GLOBAL LONG-HORIZON EQUITY FUND (CLASS D2),BLACKROCK US FLEXIBLE EQUITY FUND (CLASS D2),BLACKROCK EUROPEAN FUND (CLASS D2),BLACKROCK ASIAN DRAGON FUND (CLASS D2),ALLIANCEBERNSTEIN- CHINA OPPORTUNITY PORTFOLIO (CLASS S1)
02/01/2018,276.7,29.9,30.1,53.63,48.4,47.8,35.88,70.79,16.43,16.48,67.21,24.27,25.78,61.76,14.37,55.82,37.63,148.21,50.14,77.24
03/01/2018,277.75,30,30.22,53.78,48.51,47.87,35.91,70.61,16.43,16.48,67.21,24.31,26.05,61.99,14.37,56.07,37.88,149.09,50.51,77.78
04/01/2018,279.67,30.19,30.5,54.31,48.9,48.18,36.08,70.55,16.47,16.48,67.27,24.46,26.13,62.46,14.4,56.77,38.22,151.52,51.09,77.93
05/01/2018,280.02,30.35,30.71,54.55,49.06,48.28,36.11,70.61,16.44,16.48,67.27,24.5,26.21,62.62,14.41,56.96,38.34,152.28,51.28,78.61
08/01/2018,281.41,30.43,30.72,54.65,49.12,48.31,36.12,70.55,16.42,16.48,67.27,24.58,26.34,62.65,14.41,57.1,38.35,152.19,51.62,78.93
09/01/2018,282.81,30.39,30.79,54.83,49.2,48.32,36.07,70.37,16.33,16.48,67.27,24.7,26.32,62.64,14.44,57.15,38.47,151.92,51.63,79.14
10/01/2018,283.51,30.3,30.8,54.93,49.29,48.41,36.13,70.31,16.37,16.48,67.27,24.74,26.21,62.68,14.44,56.98,38.43,152.15,51.53,79.13
11/01/2018,282.97,30.27,30.91,54.94,49.32,48.45,36.18,70.37,16.41,16.48,67.27,24.74,26.1,62.87,14.44,57.5,38.7,152.63,51.46,78.49
12/01/2018,285.96,30.49,31.1,55.35,49.65,48.74,36.36,70.54,16.48,16.48,67.27,24.93,26.29,63.15,14.46,57.7,39.1,153.84,51.91,79.46
15/01/2018,284.71,30.57,31.21,55.47,49.78,48.9,36.49,70.6,16.58,16.48,67.27,24.97,26.37,63.47,14.47,58.16,39.21,155.32,51.99,
16/01/2018,289.98,30.75,31.17,55.85,50.03,49.07,36.56,70.54,16.56,16.48,67.27,25.37,26.56,63.58,14.47,58.27,39.48,155.42,52.37,79.59
17/01/2018,290.32,30.73,31.3,55.93,50.09,49.11,36.57,70.42,16.55,16.48,67.27,25.4,26.53,63.21,14.47,58.05,39.01,155.18,52.13,79.82
18/01/2018,291.37,30.83,31.28,55.97,50.12,49.12,36.57,70.36,16.54,16.48,67.27,25.56,26.67,63.42,14.48,58.46,39.47,155.88,52.38,80.05
19/01/2018,293.29,31.07,31.46,56.34,50.37,49.3,36.65,70.19,16.53,16.48,67.27,25.64,26.75,63.53,14.49,58.82,39.49,157.3,52.66,80.32
22/01/2018,295.38,31.23,31.67,56.64,50.6,49.48,36.75,70.07,16.56,16.49,67.27,25.72,26.77,63.61,14.49,59.01,39.66,157.4,52.84,80.99
23/01/2018,299.76,31.67,31.81,57.19,51.02,49.82,36.95,70.18,16.61,16.49,67.27,26.19,27.07,63.98,14.5,59.27,39.86,158.07,53.78,81.91
24/01/2018,300.11,31.68,31.84,57.25,51.08,49.91,37.02,70.35,16.67,16.49,67.27,26.23,27.18,64.34,14.54,59.47,40.13,159.64,53.84,82.25
25/01/2018,297.12,31.64,31.82,57.03,50.97,49.89,37.07,70.23,16.77,16.49,67.27,26.03,27.15,64.23,14.54,59.16,39.87,159.02,53.76,82.11
26/01/2018,300.8,31.85,32.01,57.39,51.2,50.01,37.09,70.35,16.69,16.49,67.27,26.39,27.29,64.29,14.54,59.14,39.98,159.83,54.14,83.41
29/01/2018,298.5,31.84,31.86,57.12,50.96,49.78,36.92,70.17,16.61,16.49,67.27,26.23,27.45,64.26,14.56,59.25,40.26,158.76,53.98,82.7
30/01/2018,295.16,31.4,31.52,56.53,50.55,49.49,36.79,70.11,16.62,16.49,67.27,25.99,26.99,63.87,14.54,58.77,39.5,158.4,52.99,80.98
31/01/2018,297.61,31.57,31.5,56.61,50.63,49.56,36.85,70.11,16.66,16.49,67.27,26.19,27.04,63.9,14.53,58.91,39.63,158.79,53.33,81.92
01/02/2018,295.14,31.44,31.52,56.52,50.55,49.49,36.8,70.11,16.63,16.49,67.27,25.99,26.99,63.78,14.54,58.56,39.36,157.58,53.09,81.28
02/02/2018,295.49,31.16,30.96,55.96,50.11,49.11,36.57,69.93,16.55,16.49,67.27,25.95,26.61,63.18,14.55,58.2,38.94,155.47,52.45,80.21
